SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,PPOPCHG_2023,PPOPCHG_2024,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_POPEST2022,NRANK_POPEST2023,NRANK_POPEST2024,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_NPCHG2022,NRANK_NPCHG2023,NRANK_NPCHG2024,NRANK_PPCHG2020,NRANK_PPCHG2021,NRANK_PPCHG2022,NRANK_PPCHG2023,NRANK_PPCHG2024
010,0,0,00,United States,331515736,331577720,332099760,334017321,336806231,340110988,61984,522040,1917561,2788910,3304757,0.0186971517,0.1574412177,0.5774051147,0.8349596936,0.9812042343,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,57617706,57431458,57252533,57159597,57398303,57832935,-186248,-178925,-92936,238706,434632,-0.323247857,-0.311545286,-0.162326442,0.4176131613,0.7572209931,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3
030,1,1,00,New England,15122011,15057350,15118145,15175633,15263573,15386085,-64661,60795,57488,87940,122512,-0.427595245,0.4037563051,0.3802582923,0.5794815939,0.8026429985,9,9,9,9,9,9,8,4,5,9,9,9,4,5,5,4
030,1,2,00,Middle Atlantic,42495695,42374108,42134388,41983964,42134730,42446850,-121587,-239720,-150424,150766,312120,-0.286116041,-0.565722823,-0.357010051,0.3591037759,0.7407665838,4,4,4,4,5,5,9,8,9,6,5,8,8,9,7,6
020,2,0,00,Midwest Region,68998970,68984258,68872831,68903297,69186401,69596584,-14712,-111427,30466,283104,410183,-0.021322057,-0.161525257,0.0442351499,0.4108714856,0.5928665085,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4
030,2,3,00,East North Central,47381362,47358568,47206851,47199092,47360185,47619171,-22794,-151717,-7759,161093,258986,-0.048107524,-0.320358082,-0.016436174,0.3413052946,0.5468433031,3,3,3,3,3,3,7,7,8,4,6,7,7,8,8,9
030,2,4,00,West North Central,21617608,21625690,21665980,21704205,21826216,21977413,8082,40290,38225,122011,151197,0.03738619,0.1863061942,0.1764286684,0.5621537393,0.6927311633,7,7,7,7,7,7,5,6,6,8,8,5,6,6,6,7
020,3,0,00,South Region,126281537,126476549,127368010,129037849,130893358,132665693,195012,891461,1669839,1855509,1772335,0.1544263751,0.7048429191,1.3110348509,1.4379571687,1.3540297438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
030,3,5,00,South Atlantic,66097951,66176865,66680852,67657171,68684308,69676509,78914,503987,976319,1027137,992201,0.11938948,0.7615758166,1.4641669546,1.5181494952,1.4445817813,1,1,1,1,1,1,3,1,1,1,1,3,3,1,2,2
030,3,6,00,East South Central,19405296,19427852,19469728,19599570,19759744,19916866,22556,41876,129842,160174,157122,0.1162363099,0.2155462168,0.6668916998,0.8172322148,0.7951621236,8,8,8,8,8,8,4,5,4,5,7,4,5,4,4,5
