state_abbr,state_name,month,apps_18plus,apps_18_to_24,apps_18_to_19,apps_18plus_cumsum,apps_18_to_24_cumsum,apps_18_to_19_cumsum,age_18plus_pop,age_18_24_pop,age_18_19_pop,apps_18plus_share_of_population,apps_18_to_24_share_of_age_18_24_pop,apps_18_to_19_share_of_age_18_19_pop
AK,Alaska,2019-01-01,227,3,0,227.0,3.0,0.0,2524280.0,118004.0,32102.0,8.992663254472563e-05,2.54228670214569e-05,0.0
AK,Alaska,2019-02-01,233,5,0,460.0,8.0,0.0,2524280.0,118004.0,32102.0,0.0001822301804871092,6.77943120572184e-05,0.0
AK,Alaska,2019-03-01,429,13,0,888.0,21.0,0.0,2524280.0,118004.0,32102.0,0.000351783478853376,0.0001779600691501983,0.0
AK,Alaska,2019-04-01,470,9,0,1358.0,30.0,0.0,2524280.0,118004.0,32102.0,0.0005379751850032485,0.000254228670214569,0.0
AK,Alaska,2019-05-01,623,28,0,1981.0,58.0,0.0,2524280.0,118004.0,32102.0,0.0007847782337933986,0.0004915087624148334,0.0
AK,Alaska,2019-06-01,495,29,0,2476.0,87.0,0.0,2524280.0,118004.0,32102.0,0.0009808737541001792,0.0007372631436222501,0.0
AK,Alaska,2019-07-01,492,32,0,2968.0,119.0,0.0,2524280.0,118004.0,32102.0,0.0011757808167081306,0.0010084403918511236,0.0
AK,Alaska,2019-08-01,481,21,0,3447.0,140.0,0.0,2524280.0,118004.0,32102.0,0.00136553789595449,0.001186400461001322,0.0
AK,Alaska,2019-09-01,491,26,0,3937.0,166.0,0.0,2524280.0,118004.0,32102.0,0.0015596526534298889,0.0014067319751872819,0.0
AK,Alaska,2019-10-01,661,35,0,4600.0,201.0,0.0,2524280.0,118004.0,32102.0,0.001822301804871092,0.0017033320904376124,0.0
AK,Alaska,2019-11-01,622,35,0,5219.0,235.0,0.0,2524280.0,118004.0,32102.0,0.002067520243396137,0.0019914579166807906,0.0
AK,Alaska,2019-12-01,611,47,0,5830.0,282.0,0.0,2524280.0,118004.0,32102.0,0.002309569461390971,0.0023897495000169485,0.0
AK,Alaska,2020-01-01,725,52,0,6555.0,334.0,0.0,2524280.0,118004.0,32102.0,0.002596780071941306,0.0028304125283888683,0.0
AK,Alaska,2020-02-01,601,52,1,7159.0,387.0,1.0,2524280.0,118004.0,32102.0,0.002836056221972206,0.00327954984576794,3.1150707121051646e-05
AK,Alaska,2020-03-01,1352,118,0,8511.0,505.0,1.0,2524280.0,118004.0,32102.0,0.0033716544915777962,0.0042795159486119115,3.1150707121051646e-05
AK,Alaska,2020-04-01,1888,140,0,10400.0,645.0,1.0,2524280.0,118004.0,32102.0,0.0041199866892737734,0.0054659164096132334,3.1150707121051646e-05
AK,Alaska,2020-05-01,1195,133,0,11587.0,777.0,1.0,2524280.0,118004.0,32102.0,0.00459021978544377,0.006584522558557337,3.1150707121051646e-05
AK,Alaska,2020-06-01,986,132,2,12573.0,909.0,3.0,2524280.0,118004.0,32102.0,0.004980826215792226,0.00770312870750144,9.345212136315494e-05
AK,Alaska,2020-07-01,1170,172,1,13743.0,1081.0,4.0,2524280.0,118004.0,32102.0,0.005444324718335525,0.009160706416731636,0.00012460282848420658
AK,Alaska,2020-08-01,1275,148,1,15024.0,1230.0,5.0,2524280.0,118004.0,32102.0,0.005951796155735497,0.010423375478797329,0.00015575353560525824
AK,Alaska,2020-09-01,1124,133,0,16150.0,1363.0,5.0,2524280.0,118004.0,32102.0,0.006397863945362638,0.011550455916748584,0.00015575353560525824
AK,Alaska,2020-10-01,1079,156,1,17226.0,1519.0,6.0,2524280.0,118004.0,32102.0,0.006824124106675963,0.012872445001864343,0.0001869042427263099
AK,Alaska,2020-11-01,1221,127,0,18438.0,1644.0,6.0,2524280.0,118004.0,32102.0,0.007304261017002868,0.013931731127758381,0.0001869042427263099
AK,Alaska,2020-12-01,1200,129,1,19647.0,1775.0,7.0,2524280.0,118004.0,32102.0,0.0077832094696309445,0.015041862987695333,0.00021805494984736154
AK,Alaska,2021-01-01,1289,180,0,20928.0,1952.0,7.0,2524280.0,118004.0,32102.0,0.008290680907030916,0.01654181214196129,0.00021805494984736154
AK,Alaska,2021-02-01,949,136,0,21877.0,2088.0,7.0,2524280.0,118004.0,32102.0,0.008666629692427147,0.017694315446934002,0.00021805494984736154
AK,Alaska,2021-03-01,970,163,1,22842.0,2251.0,8.0,2524280.0,118004.0,32102.0,0.009048916918883801,0.019075624555099827,0.00024920565696841317
AK,Alaska,2021-04-01,962,158,1,23815.0,2412.0,9.0,2524280.0,118004.0,32102.0,0.009434373365870665,0.02043998508525135,0.00028035636408946485
AK,Alaska,2021-05-01,1099,196,2,24906.0,2604.0,11.0,2524280.0,118004.0,32102.0,0.009866575815678133,0.02206704857462459,0.00034265777833156815
AK,Alaska,2021-06-01,1119,206,1,26039.0,2814.0,12.0,2524280.0,118004.0,32102.0,0.010315416673269209,0.023846649266126573,0.0003738084854526198
AK,Alaska,2021-07-01,1081,200,3,27120.0,3014.0,15.0,2524280.0,118004.0,32102.0,0.010743657597413915,0.02554150706755703,0.0004672606068157747
AK,Alaska,2021-08-01,1142,212,4,28262.0,3226.0,19.0,2524280.0,118004.0,32102.0,0.011196063828101479,0.02733805633707332,0.0005918634352999813
AK,Alaska,2021-09-01,1169,184,1,29420.0,3408.0,20.0,2524280.0,118004.0,32102.0,0.011654808499849461,0.02888037693637504,0.0006230141424210329
AK,Alaska,2021-10-01,1291,168,4,30711.0,3576.0,24.0,2524280.0,118004.0,32102.0,0.012166241462912196,0.030304057489576625,0.0007476169709052396
AK,Alaska,2021-11-01,1280,200,3,32002.0,3778.0,27.0,2524280.0,118004.0,32102.0,0.012677674425974932,0.03201586386902139,0.0008410690922683945
AK,Alaska,2021-12-01,962,166,2,32952.0,3941.0,29.0,2524280.0,118004.0,32102.0,0.01305401936393744,0.033397172977187216,0.0009033705065104977
AK,Alaska,2022-01-01,1370,238,2,34334.0,4182.0,31.0,2524280.0,118004.0,32102.0,0.01360150221053132,0.035439476627910915,0.0009656719207526011
AK,Alaska,2022-02-01,1043,167,1,35364.0,4346.0,32.0,2524280.0,118004.0,32102.0,0.014009539353795933,0.036829260025083896,0.0009968226278736527
AK,Alaska,2022-03-01,997,148,3,36374.0,4497.0,35.0,2524280.0,118004.0,32102.0,0.014409653445735022,0.038108877665163896,0.0010902747492368076
AK,Alaska,2022-04-01,860,140,1,37220.0,4634.0,36.0,2524280.0,118004.0,32102.0,0.014744798516804792,0.039269855259143754,0.0011214254563578594
AK,Alaska,2022-05-01,906,183,5,38126.0,4817.0,41.0,2524280.0,118004.0,32102.0,0.015103712741851141,0.040820650147452626,0.0012771789919631175
AK,Alaska,2022-06-01,950,206,12,39076.0,5023.0,53.0,2524280.0,118004.0,32102.0,0.01548005767981365,0.042566353682926,0.0016509874774157374
AK,Alaska,2022-07-01,1213,238,10,40303.0,5264.0,63.0,2524280.0,118004.0,32102.0,0.0159661368786347,0.04460865733364971,0.0019624945486262538
AK,Alaska,2022-08-01,1239,197,7,41542.0,5461.0,70.0,2524280.0,118004.0,32102.0,0.016456969908251066,0.04627809226805871,0.002180549498473615
AK,Alaska,2022-09-01,1005,153,11,42547.0,5614.0,81.0,2524280.0,118004.0,32102.0,0.01685510323735877,0.04757465848615301,0.0025232072768051833
AK,Alaska,2022-10-01,1064,195,10,43611.0,5809.0,91.0,2524280.0,118004.0,32102.0,0.017276609567876782,0.04922714484254771,0.0028347143480157
AK,Alaska,2022-11-01,1039,174,9,44650.0,5983.0,100.0,2524280.0,118004.0,32102.0,0.017688212084237882,0.05070167112979221,0.003115070712105165
AK,Alaska,2022-12-01,835,150,10,45485.0,6133.0,110.0,2524280.0,118004.0,32102.0,0.018018999477078614,0.051972814480865055,0.003426577783315681
AK,Alaska,2023-01-01,1074,175,5,46559.0,6308.0,115.0,2524280.0,118004.0,32102.0,0.018444467333259384,0.05345581505711671,0.0035823313189209394
AK,Alaska,2023-02-01,669,113,4,47228.0,6421.0,119.0,2524280.0,118004.0,32102.0,0.018709493400098247,0.05441340971492492,0.003706934147405146
AK,Alaska,2023-03-01,908,155,12,48136.0,6576.0,131.0,2524280.0,118004.0,32102.0,0.01906919993027715,0.055726924511033525,0.004080742632857766
AK,Alaska,2023-04-01,981,161,10,49117.0,6737.0,141.0,2524280.0,118004.0,32102.0,0.019457825597794222,0.05709128504118505,0.004392249704068282
AK,Alaska,2023-05-01,1199,134,13,50316.0,6871.0,154.0,2524280.0,118004.0,32102.0,0.019932812524759536,0.058226839768143454,0.004797208896641954
AK,Alaska,2023-06-01,1065,147,6,51381.0,7018.0,160.0,2524280.0,118004.0,32102.0,0.02035471500784382,0.05947256025219484,0.0049841131393682635
AK,Alaska,2023-07-01,975,143,10,52356.0,7161.0,170.0,2524280.0,118004.0,32102.0,0.020740963759963236,0.06068438358021762,0.00529562021057878
AK,Alaska,2023-08-01,1091,160,12,53447.0,7321.0,182.0,2524280.0,118004.0,32102.0,0.021173166209770708,0.06204026982136199,0.0056694286960314
AK,Alaska,2023-09-01,999,153,11,54446.0,7474.0,193.0,2524280.0,118004.0,32102.0,0.021568922623480754,0.06333683603945629,0.006012086474362968
AK,Alaska,2023-10-01,1079,186,24,55525.0,7660.0,217.0,2524280.0,118004.0,32102.0,0.02199637124249291,0.06491305379478662,0.0067597034452682074
AK,Alaska,2023-11-01,1015,182,32,56540.0,7842.0,249.0,2524280.0,118004.0,32102.0,0.022398466097263377,0.06645537439408834,0.00775652607314186
AK,Alaska,2023-12-01,919,166,23,57459.0,8008.0,272.0,2524280.0,118004.0,32102.0,0.02276253030567132,0.06786210636927562,0.008472992336926048
AK,Alaska,2024-01-01,990,194,38,58449.0,8202.0,310.0,2524280.0,118004.0,32102.0,0.023154721346284882,0.06950611843666317,0.009656719207526011
AK,Alaska,2024-02-01,921,170,42,59370.0,8372.0,352.0,2524280.0,118004.0,32102.0,0.023519577859825377,0.07094674756787905,0.01096504890661018
AK,Alaska,2024-03-01,1015,170,42,60385.0,8542.0,394.0,2524280.0,118004.0,32102.0,0.023921672714595846,0.07238737669909495,0.012273378605694349
AK,Alaska,2024-04-01,891,118,32,61276.0,8660.0,426.0,2524280.0,118004.0,32102.0,0.02427464465114805,0.07338734280193891,0.013270201233568002
AK,Alaska,2024-05-01,882,119,26,62158.0,8779.0,452.0,2524280.0,118004.0,32102.0,0.02462405121460377,0.07439578319379005,0.014080119618715345
AK,Alaska,2024-06-01,963,195,61,63121.0,8974.0,513.0,2524280.0,118004.0,32102.0,0.02500554613592787,0.07604826955018473,0.015980312753099496
AK,Alaska,2024-07-01,1155,175,59,64276.0,9149.0,572.0,2524280.0,118004.0,32102.0,0.025463102349977024,0.07753127012643639,0.017818204473241544
AK,Alaska,2024-08-01,1226,169,45,65502.0,9318.0,617.0,2524280.0,118004.0,32102.0,0.025948785396231796,0.07896342496864513,0.019219986293688866
AK,Alaska,2024-09-01,1119,149,47,66621.0,9467.0,664.0,2524280.0,118004.0,32102.0,0.026392080117895005,0.08022609403071082,0.020684069528378295
AK,Alaska,2024-10-01,1219,174,52,67840.0,9641.0,716.0,2524280.0,118004.0,32102.0,0.026874990096185842,0.08170062031795533,0.02230390629867298
AK,Alaska,2024-11-01,990,180,52,68830.0,9821.0,768.0,2524280.0,118004.0,32102.0,0.027267181136799403,0.08322599233924274,0.023923743068967666
AK,Alaska,2024-12-01,970,181,61,69800.0,10002.0,829.0,2524280.0,118004.0,32102.0,0.027651449126087437,0.0847598386495373,0.025823936203351817
AK,Alaska,2025-01-01,1234,219,94,71034.0,10221.0,923.0,2524280.0,118004.0,32102.0,0.02814030139287242,0.08661570794210366,0.02875210267273067
AK,Alaska,2025-02-01,893,184,62,71927.0,10405.0,985.0,2524280.0,118004.0,32102.0,0.02849406563455718,0.08817497711941968,0.030683446514235872
AK,Alaska,2025-03-01,948,209,79,72875.0,10614.0,1064.0,2524280.0,118004.0,32102.0,0.028869618267387136,0.08994610352191451,0.033144352376798955
AK,Alaska,2025-04-01,986,198,72,73861.0,10812.0,1136.0,2524280.0,118004.0,32102.0,0.029260224697735593,0.09162401274533066,0.035387203289514675
AK,Alaska,2025-05-01,949,234,90,74810.0,11046.0,1226.0,2524280.0,118004.0,32102.0,0.029636173483131825,0.0936069963730043,0.03819076693040932
AK,Alaska,2025-06-01,949,256,110,75759.0,11302.0,1336.0,2524280.0,118004.0,32102.0,0.030012122268528056,0.0957764143588353,0.041617344713725
AK,Alaska,2025-07-01,885,233,107,76644.0,11535.0,1443.0,2524280.0,118004.0,32102.0,0.0303627172896826,0.09775092369750178,0.04495047037567753
AK,Alaska,2025-08-01,870,203,91,77514.0,11738.0,1534.0,2524280.0,118004.0,32102.0,0.030707370022343004,0.09947120436595369,0.047785184723693225
AL,Alabama,2019-01-01,1193,31,0,1193.0,31.0,0.0,18314398.0,969420.0,283504.0,6.514000623989933e-05,3.197788368302696e-05,0.0
AL,Alabama,2019-02-01,1543,24,0,2736.0,55.0,0.0,18314398.0,969420.0,283504.0,0.00014939065974213295,5.6734954921499455e-05,0.0
AL,Alabama,2019-03-01,1726,60,0,4462.0,115.0,0.0,18314398.0,969420.0,283504.0,0.0002436334516701013,0.00011862763301768067,0.0
AL,Alabama,2019-04-01,1805,60,0,6267.0,175.0,0.0,18314398.0,969420.0,283504.0,0.0003421897896944251,0.0001805203111138619,0.0
AL,Alabama,2019-05-01,2326,82,0,8592.0,257.0,0.0,18314398.0,969420.0,283504.0,0.00046913908936564556,0.0002651069711786429,0.0
AL,Alabama,2019-06-01,2648,104,2,11240.0,361.0,2.0,18314398.0,969420.0,283504.0,0.0006137247863675344,0.0003723876132120237,7.054574185902139e-06
AL,Alabama,2019-07-01,3078,150,1,14318.0,511.0,3.0,18314398.0,969420.0,283504.0,0.000781789278577434,0.0005271193084524767,1.0581861278853208e-05
AL,Alabama,2019-08-01,2889,147,2,17159.0,656.0,5.0,18314398.0,969420.0,283504.0,0.0009369131324982672,0.000676693280518248,1.763643546475535e-05
AL,Alabama,2019-09-01,2937,177,1,20095.0,833.0,6.0,18314398.0,969420.0,283504.0,0.0010972241621045912,0.0008592766809019827,2.1163722557706417e-05
AL,Alabama,2019-10-01,2794,162,0,22933.0,996.0,6.0,18314398.0,969420.0,283504.0,0.0012521842104774616,0.0010274184563966082,2.1163722557706417e-05
