CSAFP,CBSAFP,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,geometry,cbsa_code,lifetime_apps_18plus_share_of_population
,11660,11660,310M700US11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",M2,2,G3110,2242855174,43965580,+34.0533162,-093.1762085,"POLYGON ((228376.81667573162 1241911.89554319, 228324.698683745 1246335.7203761349, 230252.18897298106 1246338.645146703, 230169.5269364996 1256129.806741962, 241372.78076048574 1256194.9070165656, 241455.57597413938 1249666.638718661, 255949.61987068513 1249745.6536348253, 255934.69439639198 1246475.0340688096, 271032.81312847417 1245639.4987446403, 270969.5677630423 1236539.9167206013, 284901.00421620917 1237046.7793582308, 284897.59168061183 1217766.8742803808, 279748.2747814508 1217940.462714863, 278683.2269933164 1216524.209588414, 280789.9052403312 1215938.8679837557, 281352.46566709125 1211956.4777363213, 283157.98974767793 1212173.148412482, 285186.7806074819 1208893.5951725938, 283430.56306154473 1207679.2896188125, 284161.2435515867 1204247.665196033, 286928.903949763 1202407.5027168489, 285464.14438406244 1198236.2052820958, 282178.86076428136 1199699.6071111767, 281018.98631720745 1196811.470751588, 272541.8528124314 1193540.6692328039, 269457.0159168429 1195505.7324220813, 265509.8275325631 1194320.2625358447, 262748.8231352747 1198347.4603796601, 259245.60547010807 1196503.8892856764, 255529.99799648044 1199579.8571774124, 253518.9949010311 1199011.3922112975, 248989.54234522925 1201104.2187349757, 247738.22014106685 1206980.7874445363, 240939.69330473768 1212857.5130643132, 240327.26009074398 1216798.4168180365, 235071.62351240605 1223737.7618959718, 233962.10344209656 1232663.618429621, 232469.61194782937 1234079.1183288747, 233927.91860409893 1234557.00818093, 232271.96781789634 1239356.3895441764, 233804.34452785557 1241417.74077074, 228376.81667573162 1241911.89554319))",11660,0.21979147833423732
556,11680,11680,310M700US11680,"Arkansas City-Winfield, KS","Arkansas City-Winfield, KS Micro Area",M2,2,G3110,2915648172,17322934,+37.2345068,-096.8372468,"POLYGON ((-101029.11148763016 1604658.5438426167, -46049.58238295883 1604269.3442321196, -46328.65202271073 1550744.1970931848, -101182.58331814324 1551258.8179622663, -101029.11148763016 1604658.5438426167))",11680,0.15084609801749493
120,11700,11700,310M700US11700,"Asheville, NC","Asheville, NC Metro Area",M1,1,G3110,3830729933,19336007,+35.6163405,-082.5706835,"POLYGON ((1213012.6937581617 1505267.0837816608, 1218411.736637997 1505311.180081158, 1220657.1882940137 1498551.225513596, 1226442.2671222694 1495470.8822028693, 1225235.895232593 1491869.7925019476, 1229041.6143496763 1484545.1034927587, 1227084.7188825817 1481639.9053953683, 1231126.552585516 1478678.1919885029, 1238957.0563718118 1476187.3526875193, 1233386.4663795296 1474421.4501949481, 1234517.0128558874 1472195.7724787444, 1233392.024593912 1468589.2647413611, 1231318.468405388 1468284.96851091, 1230445.245211925 1465754.4347406013, 1232987.994587094 1459572.9108618733, 1227081.6213346352 1447124.1390751298, 1227921.154340987 1436482.427463178, 1226400.6432113422 1435117.6910783139, 1223955.8939331907 1438652.6364200462, 1220626.4650320255 1432579.2033444913, 1217040.545905051 1433222.063440642, 1212959.3063068658 1430356.7378053765, 1211171.458376155 1431054.2959231415, 1209085.4630048254 1428492.8220536225, 1207194.4427528467 1430241.2265800068, 1202420.4087258205 1445577.3926279212, 1189221.7247260811 1457338.5123342052, 1185771.4071326393 1458624.2505127436, 1183734.458138529 1461829.4576782205, 1185667.7758122494 1469812.8017823712, 1184684.4817532082 1473849.5901863081, 1180237.131763367 1479030.003643359, 1176828.743451286 1477425.1309488553, 1176539.4320901586 1479436.4568900634, 1171394.3550605257 1484317.0248114232, 1169001.1734979295 1490753.324716361, 1165460.3097445574 1490493.5444635246, 1164221.4762033562 1496328.4496364505, 1167628.9387011565 1501511.1869657512, 1166823.6336343337 1504396.8836158062, 1168842.7105753808 1505961.6489908558, 1165979.2520701448 1511142.568107671, 1167604.5839689784 1511150.1262977698, 1167645.6702248685 1513221.2487429455, 1169643.9669541575 1514357.965376329, 1174758.4203741609 1511565.5031549719, 1176169.762286195 1512362.6296119855, 1178132.3593620616 1517690.500781699, 1177618.992045426 1520922.8702228402, 1188879.1549899734 1529835.5710971912, 1193468.8223702926 1526844.0929969056, 1191831.0097678765 1523038.180058749, 1192752.6264201049 1519228.0607710746, 1197627.7463023972 1518413.1941025297, 1201906.0816311596 1521688.4757792065, 1204591.5631825854 1518878.121748617, 1203910.2029232497 1514312.3997177177, 1208250.1970425204 1513441.0275610508, 1213012.6937581617 1505267.0837816608))",11700,0.20966751595280725
360,11740,11740,310M700US11740,"Ashland, OH","Ashland, OH Micro Area",M2,2,G3110,1095528191,9969109,+40.8432730,-082.2701271,"POLYGON ((1151159.464361456 2045341.7408307926, 1152797.9883647072 2034355.2203093732, 1143314.7524834506 2031483.887938342, 1140373.2266102138 2050487.6250550845, 1137117.1378892367 2050069.285428313, 1136133.2905097913 2056680.5196250833, 1132063.1433989385 2060237.4992026943, 1129602.4315168604 2079058.9689083959, 1128367.2654009291 2078882.005658207, 1126877.9457075775 2086861.9277683, 1148806.0354909021 2089835.770971619, 1149812.5860128237 2081892.8400758589, 1153451.5697623857 2082399.8659108328, 1158980.0220717231 2046600.5246739122, 1151159.464361456 2045341.7408307926))",,1e-06
,11820,11820,310M700US11820,"Astoria, OR","Astoria, OR Micro Area",M2,2,G3110,2145128705,661372778,+46.0245094,-123.7050366,"POLYGON ((-2100287.6264040438 2836847.4310712432, -2152641.9914010237 2852965.968036381, -2148685.2386329193 2858559.9514373764, -2147637.144582052 2863518.4149470204, -2149688.6354519418 2866600.073887033, -2149424.6074201753 2870603.5025052587, -2146872.272301798 2873363.7739560558, -2141056.489535309 2875772.666819066, -2138992.3525933432 2882609.7861198215, -2139499.4323633527 2894306.9614684856, -2143506.9238030757 2899153.3026617994, -2144154.0194178964 2905848.411776361, -2134919.975826213 2903389.5507515245, -2132975.8362849182 2906845.9928298215, -2127936.6648441995 2898330.328445872, -2123724.057731214 2896609.9051654763, -2112979.3270054515 2897335.422186943, -2109639.6722128284 2894126.8788257493, -2095140.9004622516 2892214.792043869, -2091836.9006506829 2888781.0261279684, -2091004.6449985153 2886163.6957303467, -2092762.1245178531 2881157.0026091193, -2088884.8711112023 2875929.5371044446, -2100287.6264040438 2836847.4310712432))",11820,0.12534974818130945
312,11860,11860,310M700US11860,"Atchison, KS","Atchison, KS Micro Area",M2,2,G3110,1116736556,6851102,+39.5325441,-095.3133975,"POLYGON ((76924.01753553239 1834431.5517371974, 80567.34772964069 1831646.4298477492, 81773.88672540092 1827594.0049094711, 86342.27546409302 1825201.9406303996, 87952.99273044069 1822334.1528571167, 36652.22989560431 1821959.0592275525, 37063.07986641722 1848165.0652207541, 75236.44179942252 1848394.121675351, 76700.2701322978 1844879.0618267234, 80516.0488441846 1844267.0562459773, 81138.91127935433 1842742.0638737567, 80051.39276897442 1840212.5392070375, 75975.37803912973 1839569.2763378026, 76924.01753553239 1834431.5517371974))",11860,0.16413469068128425
198,11900,11900,310M700US11900,"Athens, OH","Athens, OH Micro Area",M2,2,G3110,1304429460,12364206,+39.3327548,-082.0458853,"POLYGON ((1184613.3034503518 1913536.870952496, 1202563.2935695502 1915095.500742432, 1204015.6442811177 1900348.449004785, 1207414.3662254035 1899033.3863335946, 1207757.923038573 1895744.2519805997, 1215969.0184593166 1896644.802865235, 1215766.5088519433 1887583.7028181376, 1214562.3389189113 1886339.6536808938, 1170797.693992232 1882479.7629365057, 1170064.2066016488 1892470.495737543, 1166797.4350940776 1892231.2245691747, 1165456.6950530661 1912184.6347981822, 1175098.1341884043 1912844.7511005676, 1174323.195696204 1922955.3883780667, 1183821.049990268 1923703.016298796, 1184613.3034503518 1913536.870952496))",11900,0.22217297357194304
174,11940,11940,310M700US11940,"Athens, TN","Athens, TN Micro Area",M2,2,G3110,1619394994,61078967,+35.4519631,-084.6827140,"POLYGON ((1004176.2396847159 1461776.7686564808, 1005458.7476610211 1464823.3000244948, 1007225.2929591516 1462408.1658863984, 1009373.741182212 1464188.7321203842, 1009717.1490864963 1468553.0517533135, 1008316.2050771217 1470959.789305357, 1013576.2010863414 1465955.813807951, 1015707.0867935908 1468635.1098788907, 1018246.9073672054 1467073.2332669867, 1019018.3003161127 1460036.2060890635, 1022175.3284799673 1460391.0741590667, 1023934.9973596073 1458951.5165934125, 1025502.3826710621 1460444.0740467496, 1027607.0192109073 1459209.0339053283, 1026549.0533415889 1457234.8324890714, 1028173.0096237322 1456985.0895396848, 1028472.2789927853 1454580.304497055, 1030063.035084118 1454775.5445986444, 1037230.1738595556 1441721.471769832, 1036525.4661057933 1440803.845080771, 1038241.1093401002 1440265.9903558146, 1039075.7811677789 1435815.6435106585, 1041140.9069998994 1434952.6173937372, 1042647.0660517493 1429036.7949060057, 1042800.5716241742 1427487.800367768, 1038158.4099990451 1425582.8889437572, 1033364.9059295641 1419131.3713406702, 1019797.3278363725 1417671.652613037, 1016912.6468854963 1414283.601008154, 1016859.361152733 1416151.5725009402, 1013696.8483732421 1415513.6064615354, 1012096.7913917592 1417266.1163506, 1014391.3728373323 1417953.4711852402, 1014182.6850573892 1419551.2603459903, 1011988.2520214195 1418997.648097548, 999799.8145562803 1425422.3046271745, 999593.0520522321 1422163.8278795436, 994555.1932335122 1416902.189864368, 990850.5941371483 1424690.269145354, 988300.9195517916 1426727.8382830136, 985850.0741081584 1426188.210385459, 986122.3488424832 1429478.657414868, 989573.0320938767 1433398.4851592262, 988983.8434991256 1436665.9424607358, 994778.7803393241 1433826.2729875054, 996170.7964528973 1438722.7401253611, 999522.9320628383 1441021.74949872, 997278.7012602744 1444644.0032590223, 997698.6572299597 1446974.925012985, 1004556.8878805812 1447762.7987583035, 1002802.801872443 1450728.5227549584, 1005602.0804158433 1453675.2416047645, 1004176.2396847159 1461776.7686564808))",11940,0.16951309116324081
206,11980,11980,310M700US11980,"Athens, TX","Athens, TX Micro Area",M2,2,G3110,2263061904,193353703,+32.2116334,-095.8534183,"POLYGON ((53687.206646258775 1001355.7571596765, -4963.759938435946 992439.7677281807, -6170.966759987204 1001314.0275839507, -10032.881755841976 1000188.0364437131, -11058.176670263727 1002333.033671812, -9786.04161759918 1008772.8111209029, -14968.261341773972 1009054.387630048, -16501.72661302609 1010544.726623845, -13743.00082614464 1015385.459189456, -17892.04409201568 1014379.6617701438, -22038.594156519877 1019769.3607809237, -26723.533822948728 1020194.1665129383, -27983.068833066776 1025388.6427139257, -36599.144167134844 1029065.7486553012, -40291.75480341567 1028897.8634588819, -42468.44370073634 1031785.3260868555, 51572.104035807024 1031522.7186579485, 51816.25512704977 1024899.1526550095, 47941.297903752304 1017798.5909085737, 50424.6487555653 1014383.7204127723, 48944.88924717689 1008321.4084165209, 53687.206646258775 1001355.7571596765))",11980,0.07207992100830575
122,12020,12020,310M700US12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",M1,1,G3110,2654827239,26179161,+33.9439840,-083.2138965,"POLYGON ((1155044.8437819027 1296409.6630454522, 1152408.5948903267 1297169.6780573023, 1154141.4199277726 1304848.9109995007, 1153108.6134716691 1309464.0111867303, 1148986.1430210676 1313670.0269684151, 1151866.2410186254 1315092.1031879329, 1157327.3993567144 1322010.6920857716, 1161886.1101546835 1320233.168203712, 1169024.6500972891 1320652.704980943, 1173874.550970851 1325262.6372515229, 1177866.5933218081 1320090.236407721, 1176441.8267623824 1313744.3910229874, 1179887.7858993267 1312628.7829847091, 1188722.0951200612 1302198.0470906757, 1193869.5501269326 1300245.0182226389, 1193320.992115201 1298759.5050953312, 1194804.4547600073 1298101.867019083, 1196676.5852591435 1298881.1564540383, 1200971.7577111616 1296215.220067847, 1203200.9867519124 1297618.4665173574, 1208774.6521573062 1295254.1793593392, 1200910.9883484896 1289313.3937591722, 1195658.497528482 1280046.1245562618, 1192805.6551624704 1272264.6135984457, 1197013.5000669286 1267502.0223795108, 1193375.966017091 1262517.4413659794, 1191584.8007848512 1262002.718629742, 1188159.7997639459 1264279.0117457204, 1182067.5461424303 1261558.0103209422, 1166387.7542505097 1266530.8194704338, 1165784.076969186 1263354.1482620179, 1155852.3071412197 1257965.5196668447, 1151924.364108887 1260180.475257057, 1147239.5593140482 1268927.000328654, 1138434.18817628 1272462.9640710042, 1136621.0354304605 1274022.5541535027, 1136947.430096093 1276374.5413026258, 1133047.1842969924 1275984.6539772628, 1130863.075305008 1278095.708867522, 1143213.6090213517 1288887.0963266552, 1142806.4878424753 1289224.8618364863, 1142567.5721666673 1289970.9908479792, 1142599.6604038733 1290164.0597525772, 1144387.761422776 1289639.795381423, 1155044.8437819027 1296409.6630454522))",,1e-06
