SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2020_CIV,POPEST2020_CIV,POPEST2021_CIV,POPEST2022_CIV,POPEST2023_CIV,POPEST2024_CIV
010,0,0,0,United States,0,0,3735085,3703341,3572166,3680587,3653650,3615598
010,0,0,0,United States,0,1,3777552,3764698,3708865,3602662,3720079,3701824
010,0,0,0,United States,0,2,3873736,3854287,3771032,3738864,3642354,3768012
010,0,0,0,United States,0,3,3966696,3933667,3860489,3800263,3778530,3690129
010,0,0,0,United States,0,4,4049711,4038296,3939654,3888578,3837784,3823751
010,0,0,0,United States,0,5,4078129,4074896,4044039,3966181,3924020,3880536
010,0,0,0,United States,0,6,4048712,4063071,4080393,4069107,4000239,3965148
010,0,0,0,United States,0,7,4054232,4050053,4068326,4104251,4101661,4039527
010,0,0,0,United States,0,8,4073479,4057336,4055184,4091521,4135609,4139497
010,0,0,0,United States,0,9,4114609,4102425,4062356,4077757,4122524,4172964
010,0,0,0,United States,0,10,4212820,4188710,4107217,4084022,4106729,4157482
010,0,0,0,United States,0,11,4322026,4278752,4193423,4128635,4111654,4140092
010,0,0,0,United States,0,12,4453398,4442278,4283303,4214126,4155465,4144127
010,0,0,0,United States,0,13,4431685,4432504,4446559,4303081,4240124,4187019
010,0,0,0,United States,0,14,4332210,4354881,4436807,4466391,4329689,4272434
010,0,0,0,United States,0,15,4295620,4308585,4359523,4458348,4494279,4363695
010,0,0,0,United States,0,16,4332482,4330027,4313684,4384332,4489876,4532690
010,0,0,0,United States,0,17,4273393,4287256,4334353,4342550,4422383,4537342
010,0,0,0,United States,0,18,4272684,4250303,4275543,4354584,4371907,4463008
010,0,0,0,United States,0,19,4305731,4290291,4222174,4288939,4379680,4410676
010,0,0,0,United States,0,20,4251335,4280286,4285119,4252464,4329311,4430176
010,0,0,0,United States,0,21,4212517,4205219,4279097,4322039,4299487,4386478
010,0,0,0,United States,0,22,4187577,4193927,4209232,4322905,4377887,4367508
010,0,0,0,United States,0,23,4211196,4207806,4204905,4260120,4388780,4456687
010,0,0,0,United States,0,24,4267066,4243273,4218587,4256559,4327838,4470368
010,0,0,0,United States,0,25,4338202,4325009,4252885,4270920,4324699,4409562
010,0,0,0,United States,0,26,4435923,4422770,4333983,4304983,4337834,4405144
010,0,0,0,United States,0,27,4529197,4502061,4432123,4384209,4370868,4417516
010,0,0,0,United States,0,28,4626956,4611798,4509951,4480364,4449792,4450550
010,0,0,0,United States,0,29,4703713,4686373,4618300,4557424,4544245,4528476
010,0,0,0,United States,0,30,4671966,4705236,4692002,4663131,4618322,4619930
010,0,0,0,United States,0,31,4564442,4576821,4709222,4733962,4722207,4690898
010,0,0,0,United States,0,32,4489420,4499871,4579974,4747595,4789339,4790952
010,0,0,0,United States,0,33,4448462,4452909,4501255,4614940,4800201,4855321
010,0,0,0,United States,0,34,4472204,4465506,4453530,4532457,4663260,4860793
010,0,0,0,United States,0,35,4432513,4464742,4464866,4481124,4575752,4717534
010,0,0,0,United States,0,36,4390219,4374593,4462914,4489404,4520664,4625836
010,0,0,0,United States,0,37,4452647,4442412,4371806,4484307,4524884,4566168
010,0,0,0,United States,0,38,4410960,4438289,4439105,4391003,4516392,4566594
010,0,0,0,United States,0,39,4391465,4379097,4435513,4457321,4422124,4556891
010,0,0,0,United States,0,40,4316256,4362734,4374756,4449660,4483650,4457184
010,0,0,0,United States,0,41,4158540,4187294,4357060,4385655,4471711,4513503
010,0,0,0,United States,0,42,4102799,4095647,4180823,4365667,4404307,4497554
010,0,0,0,United States,0,43,3999467,4047030,4089138,4187625,4382387,4427312
010,0,0,0,United States,0,44,3925153,3911253,4039422,4093583,4201126,4401467
010,0,0,0,United States,0,45,3945740,3956407,3902663,4041662,4104475,4217215
010,0,0,0,United States,0,46,3881296,3883168,3946173,3903130,4050366,4118052
010,0,0,0,United States,0,47,3970494,3938062,3871621,3943549,3909346,4061026
010,0,0,0,United States,0,48,4184853,4131879,3924861,3867259,3947026,3917763
010,0,0,0,United States,0,49,4426487,4381564,4116494,3918153,3868779,3953116
010,0,0,0,United States,0,50,4275480,4314222,4363100,4105951,3916828,3872176
010,0,0,0,United States,0,51,4144144,4155003,4294348,4348542,4100826,3916815
010,0,0,0,United States,0,52,4054525,4068175,4134042,4278180,4339891,4097089
010,0,0,0,United States,0,53,4107407,4085085,4045594,4116262,4266932,4332286
010,0,0,0,United States,0,54,4178511,4148398,4060280,4026353,4104113,4258173
010,0,0,0,United States,0,55,4359655,4311862,4120693,4037856,4012546,4094171
010,0,0,0,United States,0,56,4428879,4417798,4280181,4094676,4021486,4000628
010,0,0,0,United States,0,57,4424800,4422872,4382673,4249747,4074628,4006256
010,0,0,0,United States,0,58,4458396,4440358,4384551,4347670,4224872,4055154
010,0,0,0,United States,0,59,4424676,4434275,4398667,4345799,4318906,4201208
010,0,0,0,United States,0,60,4349292,4357917,4388969,4356279,4313937,4291640
010,0,0,0,United States,0,61,4281488,4277545,4309579,4343347,4320809,4282976
010,0,0,0,United States,0,62,4255006,4241873,4226497,4260511,4304304,4285837
010,0,0,0,United States,0,63,4111577,4166284,4187311,4173999,4217979,4265118
010,0,0,0,United States,0,64,3986423,3983114,4108555,4131667,4128406,4175800
010,0,0,0,United States,0,65,3878435,3890494,3924656,4050204,4083526,4084252
010,0,0,0,United States,0,66,3720770,3753128,3829793,3865199,3999549,4036168
010,0,0,0,United States,0,67,3588140,3597149,3690726,3768791,3813241,3949096
010,0,0,0,United States,0,68,3467730,3461629,3533158,3627392,3714323,3760814
010,0,0,0,United States,0,69,3231898,3294116,3395486,3467864,3570487,3659141
010,0,0,0,United States,0,70,3140010,3142751,3226165,3328108,3408740,3513149
010,0,0,0,United States,0,71,3051868,3059022,3071069,3158355,3265369,3348806
010,0,0,0,United States,0,72,3050717,2993466,2983215,3000383,3093641,3201975
010,0,0,0,United States,0,73,3030712,3150841,2912123,2907742,2932619,3027929
010,0,0,0,United States,0,74,2164076,2227932,3058428,2830672,2835261,2863632
010,0,0,0,United States,0,75,2134174,2132711,2155235,2965392,2752274,2761456
010,0,0,0,United States,0,76,2096686,2071365,2057339,2082426,2875511,2672363
010,0,0,0,United States,0,77,2052880,2086085,1990669,1981765,2012365,2783899
010,0,0,0,United States,0,78,1756950,1779979,1996835,1909497,1908861,1941012
010,0,0,0,United States,0,79,1573426,1590706,1695723,1906612,1831093,1834596
010,0,0,0,United States,0,80,1434418,1450397,1507515,1610638,1819677,1751366
010,0,0,0,United States,0,81,1347640,1341589,1366196,1423599,1528747,1731062
010,0,0,0,United States,0,82,1236115,1247128,1254452,1281371,1342587,1445143
010,0,0,0,United States,0,83,1100340,1106538,1156978,1167215,1199925,1260479
010,0,0,0,United States,0,84,1017505,1014680,1017453,1067565,1084358,1118437
010,0,0,0,United States,0,85,6081529,6067865,6069050,6104247,6254553,6435143
010,0,0,0,United States,0,999,330399333,330463045,330969774,332929829,335738465,339058370
010,0,0,0,United States,1,0,1908968,1893449,1827406,1879559,1866311,1846708
010,0,0,0,United States,1,1,1929900,1922716,1896154,1842563,1899313,1890459
010,0,0,0,United States,1,2,1981394,1970428,1925868,1911200,1862524,1923421
010,0,0,0,United States,1,3,2029867,2012970,1973502,1940472,1931132,1886530
010,0,0,0,United States,1,4,2069807,2063808,2015994,1987690,1959408,1953925
010,0,0,0,United States,1,5,2082613,2081473,2066737,2029435,2005530,1980962
010,0,0,0,United States,1,6,2073904,2080524,2084271,2079444,2046447,2026118
010,0,0,0,United States,1,7,2070504,2069755,2083191,2096396,2095661,2065992
010,0,0,0,United States,1,8,2087120,2076646,2072371,2095109,2112347,2114905
010,0,0,0,United States,1,9,2110226,2104476,2079213,2084054,2111155,2131665
010,0,0,0,United States,1,10,2157603,2145502,2106897,2090365,2098847,2129029
010,0,0,0,United States,1,11,2212960,2190715,2147874,2118098,2104493,2115918
010,0,0,0,United States,1,12,2281474,2275346,2193043,2158783,2131657,2120925
010,0,0,0,United States,1,13,2269414,2270863,2277536,2203237,2171676,2147339
010,0,0,0,United States,1,14,2216085,2228153,2272993,2287632,2216606,2187937
010,0,0,0,United States,1,15,2197014,2203598,2230384,2283995,2302096,2234299
010,0,0,0,United States,1,16,2213731,2213235,2206047,2243237,2300741,2322582
010,0,0,0,United States,1,17,2184049,2190383,2214762,2220794,2263075,2325867
010,0,0,0,United States,1,18,2175972,2165438,2178157,2220138,2230778,2279373
010,0,0,0,United States,1,19,2180661,2173130,2138718,2176608,2225234,2243973
010,0,0,0,United States,1,20,2149120,2163658,2165794,2152478,2194809,2248603
010,0,0,0,United States,1,21,2124766,2122152,2159961,2184223,2174930,2222278
010,0,0,0,United States,1,22,2111103,2114459,2122762,2182702,2212658,2209365
010,0,0,0,United States,1,23,2122886,2120551,2120791,2150205,2218197,2254616
010,0,0,0,United States,1,24,2155686,2142461,2126064,2147667,2186252,2261245
010,0,0,0,United States,1,25,2189018,2183116,2146631,2151767,2182170,2227238
010,0,0,0,United States,1,26,2239813,2233733,2186603,2171181,2184123,2220772
010,0,0,0,United States,1,27,2286087,2273642,2237539,2209715,2202076,2221472
010,0,0,0,United States,1,28,2326843,2323072,2276562,2259851,2240735,2239554
010,0,0,0,United States,1,29,2366499,2356368,2325233,2299366,2290926,2279250
010,0,0,0,United States,1,30,2348670,2364180,2358017,2346872,2329075,2328300
010,0,0,0,United States,1,31,2296060,2302200,2364998,2378223,2376100,2364911
010,0,0,0,United States,1,32,2259120,2262923,2302563,2383361,2406025,2410954
010,0,0,0,United States,1,33,2242524,2243889,2262274,2319270,2409913,2439614
010,0,0,0,United States,1,34,2256212,2252383,2242996,2277490,2343152,2440128
010,0,0,0,United States,1,35,2231641,2249183,2250793,2256611,2299152,2370437
010,0,0,0,United States,1,36,2209131,2200629,2246816,2262226,2275996,2324021
010,0,0,0,United States,1,37,2238817,2233623,2197776,2256444,2279714,2298730
010,0,0,0,United States,1,38,2216847,2229864,2230599,2206517,2272428,2300989
010,0,0,0,United States,1,39,2205620,2199461,2227543,2239107,2222378,2293480
010,0,0,0,United States,1,40,2166168,2190299,2196189,2233688,2252213,2240244
010,0,0,0,United States,1,41,2082523,2096542,2186231,2200736,2244754,2267418
010,0,0,0,United States,1,42,2051597,2049667,2092265,2189902,2209877,2257610
010,0,0,0,United States,1,43,1997298,2020692,2045368,2095123,2197847,2220972
010,0,0,0,United States,1,44,1959702,1953631,2015686,2046696,2101099,2206684
010,0,0,0,United States,1,45,1970834,1975168,1948135,2015587,2051384,2108493
010,0,0,0,United States,1,46,1936490,1937288,1968655,1946928,2018992,2057347
010,0,0,0,United States,1,47,1980205,1963009,1929889,1965587,1948615,2022988
010,0,0,0,United States,1,48,2091966,2063923,1954521,1925641,1965512,1951101
010,0,0,0,United States,1,49,2217696,2194611,2054090,1948905,1924681,1966852
010,0,0,0,United States,1,50,2141254,2160082,2182884,2046426,1946549,1924764
010,0,0,0,United States,1,51,2072117,2077504,2147378,2172715,2041569,1944484
010,0,0,0,United States,1,52,2024030,2031063,2064123,2135860,2165551,2036948
010,0,0,0,United States,1,53,2042726,2031999,2016587,2051237,2126992,2158574
010,0,0,0,United States,1,54,2074999,2061218,2016253,2002973,2042019,2119553
010,0,0,0,United States,1,55,2154603,2132089,2043667,2000877,1992939,2033912
010,0,0,0,United States,1,56,2188429,2182181,2112035,2026139,1988853,1983280
010,0,0,0,United States,1,57,2179176,2178763,2159956,2091789,2011772,1977075
010,0,0,0,United States,1,58,2194219,2184064,2154674,2137008,2074651,1997481
010,0,0,0,United States,1,59,2171097,2176220,2158078,2129850,2117816,2058173
010,0,0,0,United States,1,60,2132425,2135633,2148110,2131241,2108990,2099384
010,0,0,0,United States,1,61,2088435,2087149,2105638,2119222,2108166,2088471
010,0,0,0,United States,1,62,2070854,2064191,2055558,2074817,2094217,2085219
010,0,0,0,United States,1,63,1992273,2019216,2030504,2022866,2047789,2068765
010,0,0,0,United States,1,64,1919635,1918644,1983874,1996124,1994132,2020843
010,0,0,0,United States,1,65,1860874,1866400,1882958,1947905,1966084,1966346
010,0,0,0,United States,1,66,1775355,1790988,1829584,1846661,1916752,1936692
010,0,0,0,United States,1,67,1704400,1708971,1753352,1792554,1814921,1885438
010,0,0,0,United States,1,68,1642057,1639010,1670572,1715331,1759422,1782940
010,0,0,0,United States,1,69,1518408,1548522,1599681,1631879,1681162,1726169
010,0,0,0,United States,1,70,1472439,1472604,1508556,1559974,1596815,1646984
010,0,0,0,United States,1,71,1427521,1429102,1430870,1468719,1523352,1561643
010,0,0,0,United States,1,72,1426953,1398297,1385364,1389808,1431534,1486706
010,0,0,0,United States,1,73,1426486,1480270,1351689,1342085,1351359,1394167
010,0,0,0,United States,1,74,993419,1027077,1427402,1305427,1301422,1312584
010,0,0,0,United States,1,75,977431,975730,986234,1374654,1261818,1260414
010,0,0,0,United States,1,76,953560,941632,933831,945705,1324845,1217874
010,0,0,0,United States,1,77,927623,942660,897222,892243,907635,1274581
010,0,0,0,United States,1,78,784806,795850,894008,853029,853126,869250
010,0,0,0,United States,1,79,695682,702779,750494,845475,811498,813749
010,0,0,0,United States,1,80,625330,632687,658625,705392,799989,769804
010,0,0,0,United States,1,81,582805,580884,588618,614719,663120,754156
010,0,0,0,United States,1,82,527475,531512,535688,544873,573501,620463
010,0,0,0,United States,1,83,462088,464818,485572,491299,504209,532352
010,0,0,0,United States,1,84,420541,420007,420367,441082,450647,464288
010,0,0,0,United States,1,85,2178219,2180470,2203599,2237280,2320260,2414013
010,0,0,0,United States,1,999,163293952,163319271,163508067,164438116,165826290,167471132
010,0,0,0,United States,2,0,1826117,1809892,1744760,1801028,1787339,1768890
010,0,0,0,United States,2,1,1847652,1841982,1812711,1760099,1820766,1811365
010,0,0,0,United States,2,2,1892342,1883859,1845164,1827664,1779830,1844591
010,0,0,0,United States,2,3,1936829,1920697,1886987,1859791,1847398,1803599
010,0,0,0,United States,2,4,1979904,1974488,1923660,1900888,1878376,1869826
010,0,0,0,United States,2,5,1995516,1993423,1977302,1936746,1918490,1899574
010,0,0,0,United States,2,6,1974808,1982547,1996122,1989663,1953792,1939030
010,0,0,0,United States,2,7,1983728,1980298,1985135,2007855,2006000,1973535
010,0,0,0,United States,2,8,1986359,1980690,1982813,1996412,2023262,2024592
010,0,0,0,United States,2,9,2004383,1997949,1983143,1993703,2011369,2041299
010,0,0,0,United States,2,10,2055217,2043208,2000320,1993657,2007882,2028453
010,0,0,0,United States,2,11,2109066,2088037,2045549,2010537,2007161,2024174
010,0,0,0,United States,2,12,2171924,2166932,2090260,2055343,2023808,2023202
010,0,0,0,United States,2,13,2162271,2161641,2169023,2099844,2068448,2039680
010,0,0,0,United States,2,14,2116125,2126728,2163814,2178759,2113083,2084497
010,0,0,0,United States,2,15,2098606,2104987,2129139,2174353,2192183,2129396
010,0,0,0,United States,2,16,2118751,2116792,2107637,2141095,2189135,2210108
010,0,0,0,United States,2,17,2089344,2096873,2119591,2121756,2159308,2211475
010,0,0,0,United States,2,18,2096712,2084865,2097386,2134446,2141129,2183635
010,0,0,0,United States,2,19,2125070,2117161,2083456,2112331,2154446,2166703
010,0,0,0,United States,2,20,2102215,2116628,2119325,2099986,2134502,2181573
010,0,0,0,United States,2,21,2087751,2083067,2119136,2137816,2124557,2164200
010,0,0,0,United States,2,22,2076474,2079468,2086470,2140203,2165229,2158143
010,0,0,0,United States,2,23,2088310,2087255,2084114,2109915,2170583,2202071
010,0,0,0,United States,2,24,2111380,2100812,2092523,2108892,2141586,2209123
010,0,0,0,United States,2,25,2149184,2141893,2106254,2119153,2142529,2182324
010,0,0,0,United States,2,26,2196110,2189037,2147380,2133802,2153711,2184372
010,0,0,0,United States,2,27,2243110,2228419,2194584,2174494,2168792,2196044
010,0,0,0,United States,2,28,2300113,2288726,2233389,2220513,2209057,2210996
010,0,0,0,United States,2,29,2337214,2330005,2293067,2258058,2253319,2249226
