month,state_name,state_abbr,cpi_value,cbsa
2023-01-01,Alabama,AL,299.5205706617933,13820
2023-01-01,Alabama,AL,299.5205706617933,46220
2023-01-01,Alabama,AL,299.5205706617933,10760
2023-01-01,Alabama,AL,299.5205706617933,45180
2023-01-01,Alabama,AL,299.5205706617933,33860
2023-01-01,Alabama,AL,299.5205706617933,19460
2023-01-01,Alabama,AL,299.5205706617933,10700
2023-01-01,Alabama,AL,299.5205706617933,18980
2023-01-01,Alabama,AL,299.5205706617933,11500
2023-01-01,Alabama,AL,299.5205706617933,23460
2023-01-01,Alabama,AL,299.5205706617933,40770
2023-01-01,Alabama,AL,299.5205706617933,22520
2023-01-01,Alabama,AL,299.5205706617933,26620
2023-01-01,Alabama,AL,299.5205706617933,42460
2023-01-01,Alabama,AL,299.5205706617933,22840
2023-01-01,Alabama,AL,299.5205706617933,45980
2023-01-01,Alabama,AL,299.5205706617933,21460
2023-01-01,Alabama,AL,299.5205706617933,37120
2023-01-01,Alabama,AL,299.5205706617933,12220
2023-01-01,Alabama,AL,299.5205706617933,20020
2023-01-01,Alabama,AL,299.5205706617933,21640
2023-01-01,Alabama,AL,299.5205706617933,17980
2023-01-01,Alabama,AL,299.5205706617933,29300
2023-01-01,Alabama,AL,299.5205706617933,19300
2023-01-01,Alabama,AL,299.5205706617933,33660
2023-01-01,Alabama,AL,299.5205706617933,42820
2023-02-01,Alabama,AL,301.628754716578,13820
2023-02-01,Alabama,AL,301.628754716578,46220
2023-02-01,Alabama,AL,301.628754716578,10760
2023-02-01,Alabama,AL,301.628754716578,45180
2023-02-01,Alabama,AL,301.628754716578,33860
2023-02-01,Alabama,AL,301.628754716578,19460
2023-02-01,Alabama,AL,301.628754716578,10700
2023-02-01,Alabama,AL,301.628754716578,18980
2023-02-01,Alabama,AL,301.628754716578,11500
2023-02-01,Alabama,AL,301.628754716578,23460
2023-02-01,Alabama,AL,301.628754716578,40770
2023-02-01,Alabama,AL,301.628754716578,22520
2023-02-01,Alabama,AL,301.628754716578,26620
2023-02-01,Alabama,AL,301.628754716578,42460
2023-02-01,Alabama,AL,301.628754716578,22840
2023-02-01,Alabama,AL,301.628754716578,45980
2023-02-01,Alabama,AL,301.628754716578,21460
2023-02-01,Alabama,AL,301.628754716578,37120
2023-02-01,Alabama,AL,301.628754716578,12220
2023-02-01,Alabama,AL,301.628754716578,20020
2023-02-01,Alabama,AL,301.628754716578,21640
2023-02-01,Alabama,AL,301.628754716578,17980
2023-02-01,Alabama,AL,301.628754716578,29300
2023-02-01,Alabama,AL,301.628754716578,19300
2023-02-01,Alabama,AL,301.628754716578,33660
2023-02-01,Alabama,AL,301.628754716578,42820
2023-03-01,Alabama,AL,301.8070662224843,13820
2023-03-01,Alabama,AL,301.8070662224843,46220
2023-03-01,Alabama,AL,301.8070662224843,10760
2023-03-01,Alabama,AL,301.8070662224843,45180
2023-03-01,Alabama,AL,301.8070662224843,33860
2023-03-01,Alabama,AL,301.8070662224843,19460
2023-03-01,Alabama,AL,301.8070662224843,10700
2023-03-01,Alabama,AL,301.8070662224843,18980
2023-03-01,Alabama,AL,301.8070662224843,11500
2023-03-01,Alabama,AL,301.8070662224843,23460
2023-03-01,Alabama,AL,301.8070662224843,40770
2023-03-01,Alabama,AL,301.8070662224843,22520
2023-03-01,Alabama,AL,301.8070662224843,26620
2023-03-01,Alabama,AL,301.8070662224843,42460
2023-03-01,Alabama,AL,301.8070662224843,22840
2023-03-01,Alabama,AL,301.8070662224843,45980
2023-03-01,Alabama,AL,301.8070662224843,21460
2023-03-01,Alabama,AL,301.8070662224843,37120
2023-03-01,Alabama,AL,301.8070662224843,12220
2023-03-01,Alabama,AL,301.8070662224843,20020
2023-03-01,Alabama,AL,301.8070662224843,21640
2023-03-01,Alabama,AL,301.8070662224843,17980
2023-03-01,Alabama,AL,301.8070662224843,29300
2023-03-01,Alabama,AL,301.8070662224843,19300
2023-03-01,Alabama,AL,301.8070662224843,33660
2023-03-01,Alabama,AL,301.8070662224843,42820
2023-04-01,Alabama,AL,304.1261166675813,13820
2023-04-01,Alabama,AL,304.1261166675813,46220
