month,msa,ur,civilian_labor_force,employment,unemployment,state_abbr
2023-01-01,"Anniston-Oxford, AL",2.3,49175,48051,1124,AL
2023-01-01,"Auburn-Opelika, AL",2.2,92671,90660,2011,AL
2023-01-01,"Birmingham, AL",2.1,558178,546516,11662,AL
2023-01-01,"Daphne-Fairhope-Foley, AL",1.9,111910,109774,2136,AL
2023-01-01,"Decatur, AL",1.8,73279,71924,1355,AL
2023-01-01,"Dothan, AL",2.2,66485,65007,1478,AL
2023-01-01,"Florence-Muscle Shoals, AL",2.4,67428,65823,1605,AL
2023-01-01,"Gadsden, AL",2.3,41001,40047,954,AL
2023-01-01,"Huntsville, AL",1.8,261908,257107,4801,AL
2023-01-01,"Mobile, AL",2.9,182287,177054,5233,AL
2023-01-01,"Montgomery, AL",2.5,172591,168251,4340,AL
2023-01-01,"Tuscaloosa, AL",2.4,122923,120007,2916,AL
2023-01-01,"Anchorage, AK",3.5,198463,191439,7024,AK
2023-01-01,"Fairbanks-College, AK",3.6,44808,43202,1606,AK
2023-01-01,"Flagstaff, AZ",4,73177,70250,2927,AZ
2023-01-01,"Lake Havasu City-Kingman, AZ",4.5,85889,82009,3880,AZ
2023-01-01,"Phoenix-Mesa-Chandler, AZ",3.1,2618818,2537132,81686,AZ
2023-01-01,"Prescott Valley-Prescott, AZ",3.5,104820,101136,3684,AZ
2023-01-01,"Sierra Vista-Douglas, AZ",4.5,47797,45640,2157,AZ
2023-01-01,"Tucson, AZ",3.5,489183,471823,17360,AZ
2023-01-01,"Yuma, AZ",12.5,98786,86483,12303,AZ
2023-01-01,"Fayetteville-Springdale-Rogers, AR",2.3,293870,287249,6621,AR
2023-01-01,"Fort Smith, AR-OK",2.7,100370,97696,2674,AR-OK
2023-01-01,"Hot Springs, AR",3.2,43606,42212,1394,AR
2023-01-01,"Jonesboro, AR",2.6,64604,62936,1668,AR
2023-01-01,"Little Rock-North Little Rock-Conway, AR",2.7,367705,357762,9943,AR
2023-01-01,"Bakersfield-Delano, CA",7.7,397568,367109,30459,CA
2023-01-01,"Chico, CA",4.9,90583,86136,4447,CA
2023-01-01,"El Centro, CA",17.1,69922,57994,11928,CA
2023-01-01,"Fresno, CA",6.9,519046,483302,35744,CA
2023-01-01,"Hanford-Corcoran, CA",7.9,55749,51332,4417,CA
2023-01-01,"Los Angeles-Long Beach-Anaheim, CA",4.5,6643243,6346004,297239,CA
2023-01-01,"Merced, CA",8.4,116778,106924,9854,CA
