cbsa,name,age18plus_tot,age1824_tot,age2544_tot,age4564_tot,age65plus_tot
10180,"Abilene, TX",141789,24165,51080,37238,29306
10420,"Akron, OH",563683,67363,179560,175433,141327
10500,"Albany, GA",111114,14176,36616,33906,26416
10540,"Albany, OR",103982,10246,35810,31371,26555
10580,"Albany-Schenectady-Troy, NY",742556,98840,236993,226155,180568
10740,"Albuquerque, NM",740683,81091,256134,221764,181694
10780,"Alexandria, LA",112263,12243,38960,34996,26064
10900,"Allentown-Bethlehem-Easton, PA-NJ",708921,83005,223073,224905,177938
11020,"Altoona, PA",96440,10030,28835,30617,26958
11100,"Amarillo, TX",206913,26064,76240,60960,43649
11180,"Ames, IA",107366,33124,30604,23767,19871
11200,"Amherst Town-Northampton, MA",143056,40739,33109,35804,33404
11260,"Anchorage, AK",310804,37896,124605,91627,56676
11460,"Ann Arbor, MI",307167,66405,97759,80464,62539
11500,"Anniston-Oxford, AL",91522,12627,28776,28050,22069
11540,"Appleton, WI",193875,20780,64984,63548,44563
11700,"Asheville, NC",348528,30788,109031,108315,100394
12020,"Athens-Clarke County, GA",180123,41113,56661,47814,34535
12060,"Atlanta-Sandy Springs-Roswell, GA",4943007,590814,1808967,1630895,912331
12100,"Atlantic City-Hammonton, NJ",300613,30948,84560,96738,88367
12220,"Auburn-Opelika, AL",164729,34370,52827,46614,30918
12260,"Augusta-Richmond County, GA-SC",493663,55282,171579,150847,115955
12420,"Austin-Round Rock-San Marcos, TX",2007654,238030,863751,587764,318109
12540,"Bakersfield-Delano, CA",665289,93018,264726,192698,114847
12580,"Baltimore-Columbia-Towson, MD",2236940,243181,787580,701676,504503
12620,"Bangor, ME",129971,16332,39863,40591,33185
12700,"Barnstable Town, MA",201007,15275,42903,61790,81039
12940,"Baton Rouge, LA",678624,101767,235818,199468,141571
12980,"Battle Creek, MI",103785,11322,33705,33021,25737
13020,"Bay City, MI",83039,7678,25097,26536,23728
13140,"Beaumont-Port Arthur, TX",300322,33133,107516,93516,66157
13220,"Beckley, WV",88258,8225,26417,27924,25692
13380,"Bellingham, WA",193264,30991,63914,52217,46142
13460,"Bend, OR",215013,17348,72105,66179,59381
13740,"Billings, MT",150285,14965,51411,45078,38831
13780,"Binghamton, NY",197707,32869,55362,56855,52621
13820,"Birmingham, AL",923519,104761,313285,291722,213751
13900,"Bismarck, ND",107321,12441,37754,30804,26322
13980,"Blacksburg-Christiansburg-Radford, VA",152832,38850,41465,40462,32055
14010,"Bloomington, IL",136470,29513,43128,37301,26528
14020,"Bloomington, IN",136460,37490,39518,32658,26794
14260,"Boise City, ID",654675,76307,234906,200899,142563
14460,"Boston-Cambridge-Newton, MA-NH",4072057,496907,1428850,1246434,899866
14500,"Boulder, CO",275486,52793,85998,78805,57890
14540,"Bowling Green, KY",149691,24999,50402,44757,29533
14580,"Bozeman, MT",103895,19997,39345,26385,18168
14740,"Bremerton-Silverdale-Port Orchard, WA",227388,24602,78467,65979,58340
14860,"Bridgeport-Stamford-Danbury, CT",762887,89167,241309,259326,173085
15180,"Brownsville-Harlingen, TX",311649,47714,107966,92305,63664
15260,"Brunswick-St. Simons, GA",93541,9070,26888,29892,27691
15380,"Buffalo-Cheektowaga, NY",929991,100643,305209,284454,239685
15500,"Burlington, NC",143068,18528,46814,45601,32125
15540,"Burlington-South Burlington, VT",189029,29411,62274,54695,42649
15940,"Canton-Massillon, OH",315643,32255,97169,99989,86230
15980,"Cape Coral-Fort Myers, FL",713426,63658,189004,212605,248159
16020,"Cape Girardeau, MO-IL",77907,12337,23907,22559,19104
16180,"Carson City, NV",46946,4428,15345,14503,12670
16220,"Casper, WY",62029,6396,22284,18615,14734
16300,"Cedar Rapids, IA",217458,24151,72776,68399,52132
16540,"Chambersburg, PA",124869,12198,38849,40586,33236
16580,"Champaign-Urbana, IL",196171,52313,60020,46510,37328
16620,"Charleston, WV",162620,15672,48179,52109,46660
16700,"Charleston-North Charleston, SC",685489,73711,254306,208081,149391
16740,"Charlotte-Concord-Gastonia, NC-SC",2231025,250931,822927,726127,431040
16820,"Charlottesville, VA",184445,27025,58331,51910,47179
16860,"Chattanooga, TN-GA",465813,48102,156255,146380,115076
16940,"Cheyenne, WY",79722,9068,28424,23756,18474
16980,"Chicago-Naperville-Elgin, IL-IN",7406901,844918,2635081,2330857,1596045
17020,"Chico, CA",166368,30611,52631,43504,39622
17140,"Cincinnati, OH-KY-IN",1780634,214642,609981,555442,400569
17300,"Clarksville, TN-KY",254562,36043,107574,69205,41740
17410,"Cleveland, OH",1731154,174091,558481,541911,456671
17420,"Cleveland, TN",104208,11441,32979,35251,24537
17660,"Coeur d'Alene, ID",147040,13450,48422,45927,39241
17780,"College Station-Bryan, TX",229010,68703,73250,51664,35393
17820,"Colorado Springs, CO",604191,77781,237702,170490,118218
17860,"Columbia, MO",175560,38784,58250,44965,33561
17900,"Columbia, SC",680908,97387,228415,208062,147044
17980,"Columbus, GA-AL",247416,28342,90563,74734,53777
18020,"Columbus, IN",64715,7341,22775,19834,14765
18140,"Columbus, OH",1715247,200480,657216,522728,334823
18580,"Corpus Christi, TX",345816,42782,120087,104699,78248
18700,"Corvallis, OR",84128,22438,23360,19464,18866
18880,"Crestview-Fort Walton Beach-Destin, FL",241680,23865,86072,75159,56584
19100,"Dallas-Fort Worth-Arlington, TX",6305189,778987,2482925,1987100,1056177
19140,"Dalton, GA",111440,13847,38341,36132,23120
19300,"Daphne-Fairhope-Foley, AL",207358,18719,60337,69855,58447
19340,"Davenport-Moline-Rock Island, IA-IL",297137,32786,95411,91986,76954
19430,"Dayton-Kettering-Beavercreek, OH",643823,76145,215383,193014,159281
19460,"Decatur, AL",123151,12848,39073,41401,29829
19500,"Decatur, IL",78007,8655,23551,23789,22012
19660,"Deltona-Daytona Beach-Ormond Beach, FL",614558,56617,166312,191935,199694
19740,"Denver-Aurora-Centennial, CO",2431537,248231,1008804,719956,454546
19780,"Des Moines-West Des Moines, IA",572440,64890,217628,175870,114052
19820,"Detroit-Warren-Dearborn, MI",3463742,349643,1164640,1124255,825204
20020,"Dothan, AL",120321,11792,37889,39069,31571
20100,"Dover, DE",149408,19085,48579,44810,36934
20220,"Dubuque, IA",77234,9578,24731,22766,20159
20260,"Duluth, MN-WI",229485,31664,68192,67906,61723
20500,"Durham-Chapel Hill, NC",501906,73582,173352,145603,109369
20580,"Eagle Pass, TX",40706,6663,15195,11779,7069
20740,"Eau Claire, WI",141336,22043,45576,40236,33481
20940,"El Centro, CA",131069,18237,49834,37196,25802
21060,"Elizabethtown, KY",97128,10757,34302,31281,20788
21140,"Elkhart-Goshen, IN",152121,19403,51721,47623,33374
21300,"Elmira, NY",64365,6635,20172,20243,17315
21340,"El Paso, TX",658115,95710,252861,188905,120639
21420,"Enid, OK",46200,5631,16520,13363,10686
21500,"Erie, PA",213422,27312,66014,64310,55786
21660,"Eugene-Springfield, OR",317437,48222,97776,88070,83369
21780,"Evansville, IN",212766,23997,70383,65328,53058
21820,"Fairbanks-College, AK",72824,10808,30999,18242,12775
22020,"Fargo, ND-MN",208090,39507,79249,52661,36673
22140,"Farmington, NM",91689,10767,31521,27682,21719
22180,"Fayetteville, NC",293487,45117,116273,78761,53336
22220,"Fayetteville-Springdale-Rogers, AR",461142,67751,176822,133442,83127
22380,"Flagstaff, AZ",118017,29252,37139,29246,22380
22420,"Flint, MI",314596,32798,100466,101857,79475
22500,"Florence, SC",154606,17804,48725,49509,38568
22520,"Florence-Muscle Shoals, AL",125116,16752,37541,37777,33046
22540,"Fond du Lac, WI",82778,8858,25447,26652,21821
22660,"Fort Collins-Loveland, CO",308781,53368,104743,82352,68318
22900,"Fort Smith, AR-OK",178097,19875,59067,56977,42178
23060,"Fort Wayne, IN",348129,40821,123713,105783,77812
23420,"Fresno, CA",867345,116821,336638,251972,161914
23460,"Gadsden, AL",80500,7933,25025,26612,20930
23540,"Gainesville, FL",294949,66293,91755,73518,63383
23580,"Gainesville, GA",170403,20666,57065,55259,37413
23900,"Gettysburg, PA",87571,10919,23868,27987,24797
24020,"Glens Falls, NY",103034,8624,29703,33981,30726
24140,"Goldsboro, NC",91900,11699,31027,27798,21376
24220,"Grand Forks, ND-MN",81556,17270,27270,20027,16989
24260,"Grand Island, NE",57034,6679,19203,17789,13363
24300,"Grand Junction, CO",129821,14451,41761,37722,35887
24340,"Grand Rapids-Wyoming-Kentwood, MI",914883,118191,328208,271063,197421
24420,"Grants Pass, OR",71374,5507,19667,21447,24753
