ZIP,CBSA,STATE_NAME
00501,35620,NY
00601,99999,PR
00601,29720,PR
00602,10380,PR
00603,10380,PR
00604,10380,PR
00605,10380,PR
00606,99999,PR
00610,10380,PR
00611,46580,PR
00612,41980,PR
00612,46580,PR
00612,11640,PR
00613,11640,PR
00614,11640,PR
00616,11640,PR
00617,41980,PR
00622,32420,PR
00623,32420,PR
00624,38660,PR
00627,11640,PR
00631,29720,PR
00637,32420,PR
00638,41980,PR
00641,46580,PR
00641,38660,PR
00646,41980,PR
00647,32420,PR
00647,99999,PR
00650,41980,PR
00650,11640,PR
00652,11640,PR
00653,38660,PR
00653,99999,PR
00656,38660,PR
00659,11640,PR
00660,32420,PR
00662,11640,PR
00662,10380,PR
00664,99999,PR
00667,32420,PR
00669,29720,PR
00670,99999,PR
00674,41980,PR
00676,10380,PR
00677,10380,PR
00678,11640,PR
00680,10380,PR
00680,32420,PR
00681,32420,PR
00682,32420,PR
00683,32420,PR
00685,10380,PR
00687,41980,PR
00688,11640,PR
00690,10380,PR
00692,41980,PR
00693,41980,PR
00694,41980,PR
00698,32420,PR
00698,38660,PR
00703,41980,PR
00704,17640,PR
00705,41980,PR
00707,41980,PR
00714,25020,PR
00715,38660,PR
00716,38660,PR
00717,38660,PR
00718,41980,PR
00719,41980,PR
00720,38660,PR
00720,41980,PR
00721,41980,PR
00723,25020,PR
00725,41980,PR
00726,41980,PR
00727,41980,PR
00728,38660,PR
00729,41980,PR
00730,38660,PR
00731,38660,PR
00732,38660,PR
00733,38660,PR
00735,41980,PR
00736,41980,PR
00737,41980,PR
00738,41980,PR
00739,41980,PR
00740,41980,PR
00741,41980,PR
00744,41980,PR
00745,41980,PR
00751,17640,PR
00754,41980,PR
00757,17620,PR
00765,99999,PR
00766,38660,PR
00767,41980,PR
00769,17620,PR
00771,41980,PR
00772,41980,PR
00773,41980,PR
00775,99999,PR
00777,41980,PR
00778,41980,PR
00780,38660,PR
00782,41980,PR
00783,41980,PR
00784,25020,PR
00785,25020,PR
00786,41980,PR
00791,41980,PR
00792,41980,PR
00794,41980,PR
00795,38660,PR
00801,99999,VI
00802,99999,VI
00803,99999,VI
00804,99999,VI
00820,99999,VI
00830,99999,VI
00831,99999,VI
00840,99999,VI
00850,99999,VI
00901,41980,PR
00902,41980,PR
00907,41980,PR
00908,41980,PR
00909,41980,PR
00910,41980,PR
00911,41980,PR
00912,41980,PR
00913,41980,PR
00914,41980,PR
00915,41980,PR
00916,41980,PR
00917,41980,PR
00918,41980,PR
00919,41980,PR
00920,41980,PR
00921,41980,PR
00922,41980,PR
00923,41980,PR
00924,41980,PR
00925,41980,PR
00926,41980,PR
00927,41980,PR
00928,41980,PR
00929,41980,PR
00931,41980,PR
00934,41980,PR
00935,41980,PR
00936,41980,PR
00937,41980,PR
00940,41980,PR
00949,41980,PR
00950,41980,PR
00951,41980,PR
00952,41980,PR
00953,41980,PR
00954,41980,PR
00956,41980,PR
00957,41980,PR
00958,41980,PR
00959,41980,PR
00960,41980,PR
00961,41980,PR
00962,41980,PR
00963,41980,PR
00965,41980,PR
00966,41980,PR
00968,41980,PR
00969,41980,PR
00970,41980,PR
00971,41980,PR
00975,41980,PR
00976,41980,PR
00977,41980,PR
00979,41980,PR
00981,41980,PR
00982,41980,PR
00983,41980,PR
00984,41980,PR
00985,41980,PR
00986,41980,PR
00987,41980,PR
00988,41980,PR
01001,44140,MA
01002,11200,MA
01002,24640,MA
01003,11200,MA
01004,11200,MA
01005,49340,MA
01007,11200,MA
01008,38340,MA
01008,44140,MA
01009,44140,MA
01010,49340,MA
01010,44140,MA
01011,11200,MA
01011,44140,MA
01012,11200,MA
01013,44140,MA
01014,44140,MA
01020,44140,MA
01021,44140,MA
01022,44140,MA
01026,38340,MA
01026,11200,MA
01027,11200,MA
01028,44140,MA
01029,38340,MA
01030,44140,MA
01031,11200,MA
01031,49340,MA
01032,11200,MA
01033,44140,MA
01033,11200,MA
01034,44140,MA
01035,11200,MA
01036,44140,MA
01037,49340,MA
01038,11200,MA
01039,11200,MA
01039,24640,MA
01040,11200,MA
01040,44140,MA
01041,44140,MA
01050,11200,MA
01050,44140,MA
01053,11200,MA
01054,24640,MA
01056,44140,MA
01057,44140,MA
01059,11200,MA
01060,11200,MA
01061,11200,MA
01062,11200,MA
01063,11200,MA
01066,11200,MA
01068,49340,MA
01069,44140,MA
01069,11200,MA
01070,38340,MA
01070,24640,MA
01070,11200,MA
01071,44140,MA
01072,24640,MA
01073,11200,MA
01073,44140,MA
01074,49340,MA
01075,11200,MA
01077,44140,MA
01079,44140,MA
01080,44140,MA
01081,44140,MA
01082,11200,MA
01082,49340,MA
01082,44140,MA
01083,49340,MA
01084,11200,MA
01085,44140,MA
01085,11200,MA
01086,44140,MA
01088,11200,MA
01089,44140,MA
01090,44140,MA
01092,49340,MA
01093,24640,MA
01094,49340,MA
01095,44140,MA
01096,11200,MA
01096,24640,MA
01097,44140,MA
01098,11200,MA
01101,44140,MA
01103,44140,MA
01104,44140,MA
01105,44140,MA
01106,44140,MA
01107,44140,MA
01108,44140,MA
01109,44140,MA
01111,44140,MA
01115,44140,MA
01116,44140,MA
01118,44140,MA
01119,44140,MA
01128,44140,MA
01129,44140,MA
01138,44140,MA
01139,44140,MA
01144,44140,MA
01151,44140,MA
01152,44140,MA
01199,44140,MA
01201,38340,MA
01202,38340,MA
01220,38340,MA
01222,38340,MA
01223,44140,MA
01223,38340,MA
01224,38340,MA
01225,38340,MA
01226,38340,MA
01227,38340,MA
01229,38340,MA
01230,38340,MA
01235,38340,MA
01235,11200,MA
01236,38340,MA
01237,38340,MA
01238,38340,MA
01240,38340,MA
01242,38340,MA
01243,11200,MA
01244,38340,MA
01245,38340,MA
01247,38340,MA
01247,24640,MA
01252,38340,MA
01253,38340,MA
01254,38340,MA
01255,38340,MA
01256,38340,MA
01257,38340,MA
01258,38340,MA
01259,38340,MA
01260,38340,MA
01262,38340,MA
01263,38340,MA
01264,38340,MA
01266,38340,MA
01267,38340,MA
01270,38340,MA
01270,11200,MA
01301,24640,MA
01302,24640,MA
01330,11200,MA
01330,24640,MA
01331,24640,MA
01331,49340,MA
01337,24640,MA
01338,24640,MA
01339,24640,MA
01340,24640,MA
01341,24640,MA
01342,24640,MA
01343,38340,MA
01343,24640,MA
01344,24640,MA
01346,24640,MA
01347,24640,MA
01349,24640,MA
01350,24640,MA
01351,24640,MA
01354,24640,MA
01355,24640,MA
01360,24640,MA
01364,24640,MA
01364,49340,MA
01366,49340,MA
01367,38340,MA
01367,24640,MA
01368,49340,MA
01370,24640,MA
01373,24640,MA
01375,24640,MA
01376,24640,MA
01378,24640,MA
01379,24640,MA
01380,24640,MA
01420,49340,MA
01430,49340,MA
01431,14460,MA
01431,49340,MA
01432,14460,MA
01434,49340,MA
01434,14460,MA
01436,49340,MA
01438,49340,MA
01440,49340,MA
01441,49340,MA
01450,14460,MA
01451,49340,MA
01451,14460,MA
01452,49340,MA
01453,49340,MA
01460,14460,MA
01462,49340,MA
01462,14460,MA
01463,14460,MA
01464,14460,MA
01467,49340,MA
01468,49340,MA
01469,14460,MA
01472,14460,MA
01473,49340,MA
01474,14460,MA
01475,49340,MA
01501,49340,MA
01503,14460,MA
01503,49340,MA
01504,49340,MA
01504,14460,MA
01505,49340,MA
01506,49340,MA
01507,49340,MA
01508,49340,MA
01509,49340,MA
01510,49340,MA
01515,49340,MA
01516,49340,MA
01518,49340,MA
01519,49340,MA
01520,49340,MA
01521,44140,MA
01522,49340,MA
01523,49340,MA
01524,49340,MA
01525,49340,MA
01526,49340,MA
01527,49340,MA
01529,49340,MA
01531,49340,MA
01532,14460,MA
01532,49340,MA
01534,49340,MA
01535,49340,MA
01536,49340,MA
01537,49340,MA
01538,49340,MA
01540,49340,MA
01541,49340,MA
01542,49340,MA
01543,49340,MA
01545,49340,MA
01546,49340,MA
01550,49340,MA
01560,49340,MA
01561,49340,MA
01562,49340,MA
01564,49340,MA
01566,49340,MA
01568,49340,MA
01569,49340,MA
01570,49340,MA
01571,49340,MA
01581,49340,MA
01583,49340,MA
01585,49340,MA
01586,49340,MA
01588,49340,MA
01590,49340,MA
01602,49340,MA
01603,49340,MA
01604,49340,MA
01605,49340,MA
01606,49340,MA
01607,49340,MA
01608,49340,MA
01609,49340,MA
01610,49340,MA
01611,49340,MA
01612,49340,MA
01613,49340,MA
01653,49340,MA
01655,49340,MA
01701,14460,MA
01702,14460,MA
01703,14460,MA
01704,14460,MA
01718,14460,MA
01719,14460,MA
01720,14460,MA
01721,14460,MA
01730,14460,MA
01731,14460,MA
01740,49340,MA
01741,14460,MA
01742,14460,MA
01745,49340,MA
01746,14460,MA
01747,49340,MA
01748,14460,MA
01748,49340,MA
01749,49340,MA
01749,14460,MA
01752,49340,MA
01752,14460,MA
01754,14460,MA
01756,14460,MA
01756,49340,MA
01757,49340,MA
01760,14460,MA
01770,14460,MA
01772,49340,MA
01773,14460,MA
01775,14460,MA
01776,14460,MA
01778,14460,MA
01784,14460,MA
01801,14460,MA
01803,14460,MA
01805,14460,MA
01810,14460,MA
01812,14460,MA
01821,14460,MA
01822,14460,MA
01824,14460,MA
01826,14460,MA
01827,14460,MA
01830,14460,MA
01831,14460,MA
01832,14460,MA
01833,14460,MA
