SUMLEV,CBSA,MDIV,NAME,LSAD,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
310,10180,,"Abilene, TX",Metropolitan Statistical Area,1,176611,89624,86987,11738,5932,5806,21119,10828,10291,9078,4638,4440,22787,11846,10941,139172,70499,68673,134676,68226,66450,76902,40755,36147,47350,25473,21877,37710,19029,18681,26829,11878,14951,11738,5932,5806,11719,5975,5744,11713,6055,5658,12905,6448,6457,16647,8834,7813,13133,7089,6044,12274,6658,5616,12167,6536,5631,9776,5190,4586,8957,4747,4210,8904,4531,4373,10092,5040,5052,9757,4711,5046,8310,3945,4365,6851,3155,3696,4923,2200,2723,3371,1392,1979,3374,1186,2188,34.2,33.3,35.3
310,10180,,"Abilene, TX",Metropolitan Statistical Area,2,176926,89809,87117,11641,5879,5762,21133,10822,10311,9131,4684,4447,22840,11879,10961,139549,70720,68829,135021,68424,66597,77187,40936,36251,47537,25587,21950,37655,18990,18665,26989,11968,15021,11641,5879,5762,11753,5982,5771,11701,6054,5647,12979,6510,6469,16671,8839,7832,13151,7109,6042,12328,6688,5640,12196,6544,5652,9862,5246,4616,8963,4750,4213,8910,4533,4377,10022,5003,5019,9760,4704,5056,8398,3996,4402,6904,3179,3725,4923,2203,2720,3384,1401,1983,3380,1189,2191,34.3,33.3,35.3
310,10180,,"Abilene, TX",Metropolitan Statistical Area,3,177918,90378,87540,11294,5778,5516,21139,10697,10442,9259,4794,4465,23492,12228,11264,140828,71452,69376,136226,69109,67117,78562,41754,36808,48188,25996,22192,37358,18855,18503,27188,12030,15158,11294,5778,5516,11823,5940,5883,11693,6021,5672,13346,6755,6591,17028,9003,8025,13124,7138,5986,12410,6686,5724,12366,6645,5721,10288,5527,4761,9004,4788,4216,8958,4574,4384,9568,4777,4791,9828,4716,5112,8588,4083,4505,7055,3235,3820,4906,2188,2718,3314,1354,1960,3325,1170,2155,34.3,33.4,35.3
310,10180,,"Abilene, TX",Metropolitan Statistical Area,4,180072,91685,88387,11332,5859,5473,21302,10702,10600,9420,4945,4475,23434,12345,11089,142658,72598,70060,138018,70179,67839,79727,42665,37062,49266,26627,22639,37371,18833,18538,27947,12374,15573,11332,5859,5473,11957,5991,5966,11738,5963,5775,13351,6894,6457,17110,9144,7966,13129,7169,5960,12717,6878,5839,12523,6732,5791,10897,5848,5049,9187,4851,4336,9083,4650,4433,9245,4632,4613,9856,4700,5156,8866,4185,4681,7017,3199,3818,5337,2390,2947,3391,1412,1979,3336,1188,2148,34.5,33.5,35.7
310,10180,,"Abilene, TX",Metropolitan Statistical Area,5,182838,93368,89470,11352,5863,5489,21611,10844,10767,9633,5076,4557,23854,12655,11199,145036,74126,70910,140242,71585,68657,81455,43795,37660,50380,27311,23069,37371,18913,18458,28637,12706,15931,11352,5863,5489,12161,6099,6062,11862,5992,5870,13603,7078,6525,17472,9406,8066,13215,7191,6024,12994,7103,5891,12589,6759,5830,11582,6258,5324,9469,5003,4466,9018,4643,4375,8944,4498,4446,9940,4769,5171,9072,4269,4803,7123,3258,3865,5496,2462,3034,3554,1488,2066,3392,1229,2163,34.5,33.5,35.7
310,10180,,"Abilene, TX",Metropolitan Statistical Area,6,184278,94150,90128,11129,5705,5424,21616,10904,10712,9744,5074,4670,24165,12908,11257,146723,75116,71607,141789,72467,69322,82575,44420,38155,51080,27628,23452,37238,18918,18320,29306,13013,16293,11129,5705,5424,12131,6120,6011,11899,5974,5925,13831,7252,6579,17664,9540,8124,13392,7252,6140,13048,7140,5908,12577,6775,5802,12063,6461,5602,9688,5119,4569,8962,4648,4314,8760,4383,4377,9828,4768,5060,9137,4283,4854,7420,3402,4018,5644,2536,3108,3671,1551,2120,3434,1241,2193,34.6,33.6,35.8
310,10420,,"Akron, OH",Metropolitan Statistical Area,1,702211,343127,359084,36976,18770,18206,72576,36998,35578,34148,17348,16800,69465,34135,35330,575820,278773,297047,558511,270011,288500,268333,133675,134658,173107,86470,86637,189009,92720,96289,126930,56686,70244,36976,18770,18206,39042,19996,19046,41921,21280,20641,45308,22676,22632,49918,24529,25389,46547,23465,23082,44146,22050,22096,42317,21085,21232,40097,19870,20227,41881,20812,21069,45917,22647,23270,50584,24702,25882,50627,24559,26068,42774,20440,22334,34145,15813,18332,21442,9508,11934,14065,5850,8215,14504,5075,9429,40.6,39.5,41.7
310,10420,,"Akron, OH",Metropolitan Statistical Area,2,701689,342835,358854,36758,18660,18098,72374,36871,35503,34144,17355,16789,69323,34014,35309,575682,278695,296987,558413,269949,288464,268420,133678,134742,173380,86610,86770,188143,92296,95847,127567,57029,70538,36758,18660,18098,39037,19974,19063,41764,21198,20566,45170,22594,22576,49870,24474,25396,46438,23434,23004,44309,22086,22223,42346,21093,21253,40287,19997,20290,41376,20560,20816,45889,22649,23240,50319,24571,25748,50559,24516,26043,43073,20578,22495,34470,15974,18496,21569,9568,12001,13999,5818,8181,14456,5091,9365,40.6,39.5,41.7
310,10420,,"Akron, OH",Metropolitan Statistical Area,3,696602,340329,356273,35904,18230,17674,71588,36471,35117,34138,17329,16809,64880,32189,32691,572042,276951,295091,554972,268299,286673,264984,132196,132788,174553,87045,87508,184819,90630,94189,130720,58435,72285,35904,18230,17674,39062,19913,19149,41113,20925,20188,42137,21291,20846,48294,23860,24434,46111,23157,22954,44876,22291,22585,42554,21224,21330,41012,20373,20639,39482,19595,19887,45962,22702,23260,48912,23891,25021,50463,24442,26021,44130,21021,23109,36224,16750,19474,22153,9851,12302,14041,5797,8244,14172,5016,9156,41,39.8,42.1
310,10420,,"Akron, OH",Metropolitan Statistical Area,4,698506,340887,357619,35483,17954,17529,70710,35999,34711,34208,17393,16815,67210,33007,34203,575052,278140,296912,558105,269541,288564,268601,133811,134790,175812,87785,88027,181257,88848,92409,133826,59901,73925,35483,17954,17529,38940,19791,19149,40399,20582,19817,43827,21987,21840,48962,24039,24923,45670,23023,22647,45778,22750,23028,42794,21300,21494,41570,20712,20858,38911,19249,19662,45211,22361,22850,47285,23075,24210,49850,24163,25687,44875,21293,23582,35897,16609,19288,24769,11112,13657,14355,5957,8398,13930,4930,9000,40.9,39.8,42
310,10420,,"Akron, OH",Metropolitan Statistical Area,5,700094,341396,358698,35234,17775,17459,70371,35819,34552,34114,17236,16878,67075,32810,34265,577574,279295,298279,560375,270566,289809,270734,134856,135878,177781,88922,88859,177964,87123,90841,137555,61711,75844,35234,17775,17459,38823,19679,19144,39784,20252,19532,44186,22099,22087,48767,23835,24932,45726,23145,22581,46662,23260,23402,43319,21553,21766,42074,20964,21110,39032,19254,19778,44093,21801,22292,45935,22426,23509,48904,23642,25262,45765,21778,23987,36472,16910,19562,26097,11755,14342,15282,6344,8938,13939,4924,9015,40.9,39.8,42
