date,year,month,quarter,state_name,state_abbr,cpi_value,source,data_type
2023-01-01,2023,1,Q1,Alabama,AL,299.5205706617933,National_Estimate_BLS_API,Estimated
2023-02-01,2023,2,Q1,Alabama,AL,301.62875471657793,National_Estimate_BLS_API,Estimated
2023-03-01,2023,3,Q1,Alabama,AL,301.8070662224843,National_Estimate_BLS_API,Estimated
2023-04-01,2023,4,Q2,Alabama,AL,304.1261166675813,National_Estimate_BLS_API,Estimated
2023-05-01,2023,5,Q2,Alabama,AL,304.18043005144995,National_Estimate_BLS_API,Estimated
2023-06-01,2023,6,Q2,Alabama,AL,305.9284869894803,National_Estimate_BLS_API,Estimated
2023-07-01,2023,7,Q3,Alabama,AL,304.8849088895004,National_Estimate_BLS_API,Estimated
2023-08-01,2023,8,Q3,Alabama,AL,307.2741451457437,National_Estimate_BLS_API,Estimated
2023-09-01,2023,9,Q3,Alabama,AL,307.60507056644224,National_Estimate_BLS_API,Estimated
2023-10-01,2023,10,Q4,Alabama,AL,307.3042397357304,National_Estimate_BLS_API,Estimated
2023-11-01,2023,11,Q4,Alabama,AL,307.88374922668413,National_Estimate_BLS_API,Estimated
2023-12-01,2023,12,Q4,Alabama,AL,307.86832804493105,National_Estimate_BLS_API,Estimated
2024-01-01,2024,1,Q1,Alabama,AL,308.9349699225421,National_Estimate_BLS_API,Estimated
2024-02-01,2024,2,Q1,Alabama,AL,310.104305683156,National_Estimate_BLS_API,Estimated
2024-03-01,2024,3,Q1,Alabama,AL,311.88107069764726,National_Estimate_BLS_API,Estimated
2024-04-01,2024,4,Q2,Alabama,AL,313.4806633367691,National_Estimate_BLS_API,Estimated
2024-05-01,2024,5,Q2,Alabama,AL,314.34990283550337,National_Estimate_BLS_API,Estimated
2024-06-01,2024,6,Q2,Alabama,AL,313.69173093625807,National_Estimate_BLS_API,Estimated
2024-07-01,2024,7,Q3,Alabama,AL,314.0551061826509,National_Estimate_BLS_API,Estimated
