state_name,state_abbr,year,effective_date,minimum_wage,source,raw_wage_text,table_number
Federal,,1972,1972-01-01,1.6,DOL_Historical_Table_1,$1.60,1
Federal,,1979,1979-01-01,2.9,DOL_Historical_Table_1,$2.90,1
Federal,,1980,1980-01-01,3.1,DOL_Historical_Table_1,$3.10,1
Federal,,1981,1981-01-01,3.35,DOL_Historical_Table_1,$3.35,1
Alaska,AK,1972,1972-01-01,2.1,DOL_Historical_Table_1,2.10,1
Alaska,AK,1979,1979-01-01,3.4,DOL_Historical_Table_1,3.40,1
Alaska,AK,1980,1980-01-01,3.6,DOL_Historical_Table_1,3.60,1
Alaska,AK,1981,1981-01-01,3.85,DOL_Historical_Table_1,3.85,1
Arizona,AZ,1972,1972-01-01,18.72,DOL_Historical_Table_1,18.72-26.40/wk(b),1
Arkansas,AR,1972,1972-01-01,1.2,DOL_Historical_Table_1,1.20,1
Arkansas,AR,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Arkansas,AR,1980,1980-01-01,2.55,DOL_Historical_Table_1,2.55,1
Arkansas,AR,1981,1981-01-01,2.7,DOL_Historical_Table_1,2.70,1
California,CA,1972,1972-01-01,1.65,DOL_Historical_Table_1,1.65(b),1
California,CA,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
California,CA,1980,1980-01-01,2.9,DOL_Historical_Table_1,2.90,1
California,CA,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
Colorado,CO,1972,1972-01-01,1.0,DOL_Historical_Table_1,1.00 - 1.25(b),1
Colorado,CO,1979,1979-01-01,1.9,DOL_Historical_Table_1,1.90,1
Colorado,CO,1980,1980-01-01,1.9,DOL_Historical_Table_1,1.90,1
Colorado,CO,1981,1981-01-01,1.9,DOL_Historical_Table_1,1.90,1
Connecticut,CT,1972,1972-01-01,1.85,DOL_Historical_Table_1,1.85,1
Connecticut,CT,1979,1979-01-01,2.91,DOL_Historical_Table_1,2.91,1
Connecticut,CT,1980,1980-01-01,3.12,DOL_Historical_Table_1,3.12,1
Connecticut,CT,1981,1981-01-01,3.37,DOL_Historical_Table_1,3.37,1
Delaware,DE,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Delaware,DE,1979,1979-01-01,2.0,DOL_Historical_Table_1,2.00,1
Delaware,DE,1980,1980-01-01,2.0,DOL_Historical_Table_1,2.00,1
Delaware,DE,1981,1981-01-01,2.0,DOL_Historical_Table_1,2.00,1
Florida,FL,1981,1981-01-01,12.0,DOL_Historical_Table_1,$12.00,1
Georgia,GA,1972,1972-01-01,1.25,DOL_Historical_Table_1,1.25,1
Georgia,GA,1979,1979-01-01,1.23,DOL_Historical_Table_1,1.23,1
Georgia,GA,1980,1980-01-01,1.25,DOL_Historical_Table_1,1.25,1
Georgia,GA,1981,1981-01-01,5.15,DOL_Historical_Table_1,$5.15,1
Hawaii,HI,1972,1972-01-01,1.6,DOL_Historical_Table_1,1.60,1
Hawaii,HI,1979,1979-01-01,2.65,DOL_Historical_Table_1,2.65,1
Hawaii,HI,1980,1980-01-01,2.9,DOL_Historical_Table_1,2.90,1
Hawaii,HI,1981,1981-01-01,3.1,DOL_Historical_Table_1,3.10,1
Idaho,ID,1972,1972-01-01,1.4,DOL_Historical_Table_1,1.40,1
Idaho,ID,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Idaho,ID,1980,1980-01-01,2.3,DOL_Historical_Table_1,2.30,1
Idaho,ID,1981,1981-01-01,2.3,DOL_Historical_Table_1,2.30,1
Illinois,IL,1972,1972-01-01,1.4,DOL_Historical_Table_1,1.40,1
Illinois,IL,1979,1979-01-01,2.3,DOL_Historical_Table_1,2.30,1
Illinois,IL,1980,1980-01-01,2.3,DOL_Historical_Table_1,2.30,1
Illinois,IL,1981,1981-01-01,2.3,DOL_Historical_Table_1,2.30,1
Indiana,IN,1972,1972-01-01,1.25,DOL_Historical_Table_1,1.25,1
Indiana,IN,1979,1979-01-01,2.0,DOL_Historical_Table_1,2.00,1
Indiana,IN,1980,1980-01-01,2.0,DOL_Historical_Table_1,2.00,1
Indiana,IN,1981,1981-01-01,2.0,DOL_Historical_Table_1,2.00,1
Kansas,KS,1979,1979-01-01,1.6,DOL_Historical_Table_1,1.60,1
Kansas,KS,1980,1980-01-01,1.6,DOL_Historical_Table_1,1.60,1
Kansas,KS,1981,1981-01-01,1.6,DOL_Historical_Table_1,1.60,1
Kentucky,KY,1979,1979-01-01,2.0,DOL_Historical_Table_1,2.00,1
Kentucky,KY,1980,1980-01-01,2.15,DOL_Historical_Table_1,2.15,1
Kentucky,KY,1981,1981-01-01,2.15,DOL_Historical_Table_1,2.15,1
Maine,ME,1972,1972-01-01,1.4,DOL_Historical_Table_1,1.40 - 1.80,1
Maine,ME,1979,1979-01-01,2.9,DOL_Historical_Table_1,2.90,1
Maine,ME,1980,1980-01-01,3.1,DOL_Historical_Table_1,3.10,1
Maine,ME,1981,1981-01-01,3.35,DOL_Historical_Table_1,3.35,1
