state_name,state_abbr,min_wage,max_wage,avg_wage,std_wage
Alabama,AL,7.25,7.25,7.25,0.0
Alaska,AK,10.85,11.73,11.389354838709677,0.4357211301116875
Arizona,AZ,13.85,14.35,14.156451612903224,0.2475688239270962
Arkansas,AR,11.0,11.0,11.0,0.0
California,CA,15.5,16.0,15.806451612903226,0.2475688239270962
Colorado,CO,13.65,14.42,14.121935483870969,0.3812559888477267
Connecticut,CT,15.0,15.69,15.422903225806452,0.34164497701939134
Delaware,DE,11.75,13.25,12.669354838709678,0.7427064717812876
District of Columbia,DC,17.0,17.5,17.306451612903224,0.2475688239270947
Florida,FL,12.0,12.0,12.0,0.0
Georgia,GA,5.15,5.15,5.15,0.0
Hawaii,HI,12.0,14.0,13.225806451612904,0.9902752957083831
Idaho,ID,7.25,7.25,7.25,0.0
Illinois,IL,13.0,14.0,13.612903225806452,0.49513764785419034
Indiana,IN,7.25,7.25,7.25,0.0
Iowa,IA,7.25,7.25,7.25,0.0
Kansas,KS,7.25,7.25,7.25,0.0
Kentucky,KY,7.25,7.25,7.25,0.0
Louisiana,LA,7.25,7.25,7.25,0.0
Maine,ME,13.8,14.15,14.014516129032257,0.17329817674896622
Maryland,MD,13.25,15.0,14.32258064516129,0.8664908837448335
Massachusetts,MA,15.0,15.0,15.0,0.0
Michigan,MI,10.1,10.33,10.240967741935483,0.11388165900646385
Minnesota,MN,10.59,10.85,10.749354838709678,0.1287357884420899
Mississippi,MS,7.25,7.25,7.25,0.0
Missouri,MO,12.0,12.3,12.183870967741935,0.14854129435625668
Montana,MT,9.95,10.3,10.16451612903226,0.17329817674896741
Nebraska,NE,10.5,12.0,11.419354838709678,0.7427064717812876
Nevada,NV,10.25,12.0,11.32258064516129,0.8664908837448335
New Hampshire,NH,7.25,7.25,7.25,0.0
New Jersey,NJ,14.13,15.13,14.742903225806453,0.49513764785419034
New Mexico,NM,12.0,12.0,12.0,0.0
New York,NY,14.2,15.0,14.69032258064516,0.39611011828335346
North Carolina,NC,7.25,7.25,7.25,0.0
North Dakota,ND,7.25,7.25,7.25,0.0
Ohio,OH,10.1,10.45,10.314516129032258,0.17329817674896605
Oklahoma,OK,2.0,2.0,2.0,0.0
Oregon,OR,14.2,14.7,14.506451612903225,0.2475688239270962
Pennsylvania,PA,7.25,7.25,7.25,0.0
Rhode Island,RI,13.0,14.0,13.612903225806452,0.49513764785419034
South Carolina,SC,7.25,7.25,7.25,0.0
South Dakota,SD,10.8,11.2,11.04516129032258,0.19805505914167545
Tennessee,TN,7.25,7.25,7.25,0.0
Texas,TX,7.25,7.25,7.25,0.0
Utah,UT,7.25,7.25,7.25,0.0
Vermont,VT,13.18,13.67,13.480322580645161,0.2426174474485533
Virginia,VA,12.0,12.0,12.0,0.0
Washington,WA,15.74,16.28,16.070967741935487,0.2673743298412639
West Virginia,WV,8.75,8.75,8.75,0.0
Wisconsin,WI,7.25,7.25,7.25,0.0
Wyoming,WY,5.15,5.15,5.15,0.0
