date,year,month,quarter,state_name,state_abbr,minimum_wage
2023-01-01,2023,1,Q1,Federal,,7.25
2023-02-01,2023,2,Q1,Federal,,7.25
2023-03-01,2023,3,Q1,Federal,,7.25
2023-04-01,2023,4,Q2,Federal,,7.25
2023-05-01,2023,5,Q2,Federal,,7.25
2023-06-01,2023,6,Q2,Federal,,7.25
2023-07-01,2023,7,Q3,Federal,,7.25
2023-08-01,2023,8,Q3,Federal,,7.25
2023-09-01,2023,9,Q3,Federal,,7.25
2023-10-01,2023,10,Q4,Federal,,7.25
2023-11-01,2023,11,Q4,Federal,,7.25
2023-12-01,2023,12,Q4,Federal,,7.25
2024-01-01,2024,1,Q1,Federal,,7.25
2024-02-01,2024,2,Q1,Federal,,7.25
2024-03-01,2024,3,Q1,Federal,,7.25
2024-04-01,2024,4,Q2,Federal,,7.25
2024-05-01,2024,5,Q2,Federal,,7.25
2024-06-01,2024,6,Q2,Federal,,7.25
2024-07-01,2024,7,Q3,Federal,,7.25
2024-08-01,2024,8,Q3,Federal,,7.25
2024-09-01,2024,9,Q3,Federal,,7.25
2024-10-01,2024,10,Q4,Federal,,7.25
2024-11-01,2024,11,Q4,Federal,,7.25
2024-12-01,2024,12,Q4,Federal,,7.25
2025-01-01,2025,1,Q1,Federal,,7.25
2025-02-01,2025,2,Q1,Federal,,7.25
2025-03-01,2025,3,Q1,Federal,,7.25
2025-04-01,2025,4,Q2,Federal,,7.25
2025-05-01,2025,5,Q2,Federal,,7.25
2025-06-01,2025,6,Q2,Federal,,7.25
2025-07-01,2025,7,Q3,Federal,,7.25
2023-01-01,2023,1,Q1,Alaska,AK,10.85
2023-02-01,2023,2,Q1,Alaska,AK,10.85
2023-03-01,2023,3,Q1,Alaska,AK,10.85
2023-04-01,2023,4,Q2,Alaska,AK,10.85
2023-05-01,2023,5,Q2,Alaska,AK,10.85
2023-06-01,2023,6,Q2,Alaska,AK,10.85
2023-07-01,2023,7,Q3,Alaska,AK,10.85
2023-08-01,2023,8,Q3,Alaska,AK,10.85
2023-09-01,2023,9,Q3,Alaska,AK,10.85
2023-10-01,2023,10,Q4,Alaska,AK,10.85
2023-11-01,2023,11,Q4,Alaska,AK,10.85
2023-12-01,2023,12,Q4,Alaska,AK,10.85
2024-01-01,2024,1,Q1,Alaska,AK,11.73
2024-02-01,2024,2,Q1,Alaska,AK,11.73
2024-03-01,2024,3,Q1,Alaska,AK,11.73
2024-04-01,2024,4,Q2,Alaska,AK,11.73
2024-05-01,2024,5,Q2,Alaska,AK,11.73
2024-06-01,2024,6,Q2,Alaska,AK,11.73
2024-07-01,2024,7,Q3,Alaska,AK,11.73
2024-08-01,2024,8,Q3,Alaska,AK,11.73
2024-09-01,2024,9,Q3,Alaska,AK,11.73
2024-10-01,2024,10,Q4,Alaska,AK,11.73
2024-11-01,2024,11,Q4,Alaska,AK,11.73
2024-12-01,2024,12,Q4,Alaska,AK,11.73
2025-01-01,2025,1,Q1,Alaska,AK,11.73
2025-02-01,2025,2,Q1,Alaska,AK,11.73
2025-03-01,2025,3,Q1,Alaska,AK,11.73
2025-04-01,2025,4,Q2,Alaska,AK,11.73
2025-05-01,2025,5,Q2,Alaska,AK,11.73
2025-06-01,2025,6,Q2,Alaska,AK,11.73
2025-07-01,2025,7,Q3,Alaska,AK,11.73
2023-01-01,2023,1,Q1,Arizona,AZ,13.85
2023-02-01,2023,2,Q1,Arizona,AZ,13.85
2023-03-01,2023,3,Q1,Arizona,AZ,13.85
2023-04-01,2023,4,Q2,Arizona,AZ,13.85
2023-05-01,2023,5,Q2,Arizona,AZ,13.85
2023-06-01,2023,6,Q2,Arizona,AZ,13.85
2023-07-01,2023,7,Q3,Arizona,AZ,13.85
2023-08-01,2023,8,Q3,Arizona,AZ,13.85
2023-09-01,2023,9,Q3,Arizona,AZ,13.85
2023-10-01,2023,10,Q4,Arizona,AZ,13.85
2023-11-01,2023,11,Q4,Arizona,AZ,13.85
2023-12-01,2023,12,Q4,Arizona,AZ,13.85
2024-01-01,2024,1,Q1,Arizona,AZ,14.35
2024-02-01,2024,2,Q1,Arizona,AZ,14.35
2024-03-01,2024,3,Q1,Arizona,AZ,14.35
2024-04-01,2024,4,Q2,Arizona,AZ,14.35
2024-05-01,2024,5,Q2,Arizona,AZ,14.35
2024-06-01,2024,6,Q2,Arizona,AZ,14.35
2024-07-01,2024,7,Q3,Arizona,AZ,14.35
2024-08-01,2024,8,Q3,Arizona,AZ,14.35
2024-09-01,2024,9,Q3,Arizona,AZ,14.35
2024-10-01,2024,10,Q4,Arizona,AZ,14.35
2024-11-01,2024,11,Q4,Arizona,AZ,14.35
2024-12-01,2024,12,Q4,Arizona,AZ,14.35
2025-01-01,2025,1,Q1,Arizona,AZ,14.35
