state_name,state_abbr,year,quarter,minimum_wage,date
Alabama,AL,2023,Q1,7.25,2023-03-01
Alabama,AL,2023,Q2,7.25,2023-06-01
Alabama,AL,2023,Q3,7.25,2023-09-01
Alabama,AL,2023,Q4,7.25,2023-12-01
Alabama,AL,2024,Q1,7.25,2024-03-01
Alabama,AL,2024,Q2,7.25,2024-06-01
Alabama,AL,2024,Q3,7.25,2024-09-01
Alabama,AL,2024,Q4,7.25,2024-12-01
Alabama,AL,2025,Q1,7.25,2025-03-01
Alabama,AL,2025,Q2,7.25,2025-06-01
Alabama,AL,2025,Q3,7.25,2025-07-01
Alaska,AK,2023,Q1,10.85,2023-03-01
Alaska,AK,2023,Q2,10.85,2023-06-01
Alaska,AK,2023,Q3,10.85,2023-09-01
Alaska,AK,2023,Q4,10.85,2023-12-01
Alaska,AK,2024,Q1,11.73,2024-03-01
Alaska,AK,2024,Q2,11.73,2024-06-01
Alaska,AK,2024,Q3,11.73,2024-09-01
Alaska,AK,2024,Q4,11.73,2024-12-01
Alaska,AK,2025,Q1,11.73,2025-03-01
Alaska,AK,2025,Q2,11.73,2025-06-01
Alaska,AK,2025,Q3,11.73,2025-07-01
Arizona,AZ,2023,Q1,13.85,2023-03-01
Arizona,AZ,2023,Q2,13.85,2023-06-01
Arizona,AZ,2023,Q3,13.85,2023-09-01
Arizona,AZ,2023,Q4,13.85,2023-12-01
Arizona,AZ,2024,Q1,14.35,2024-03-01
Arizona,AZ,2024,Q2,14.35,2024-06-01
Arizona,AZ,2024,Q3,14.35,2024-09-01
Arizona,AZ,2024,Q4,14.35,2024-12-01
Arizona,AZ,2025,Q1,14.35,2025-03-01
Arizona,AZ,2025,Q2,14.35,2025-06-01
Arizona,AZ,2025,Q3,14.35,2025-07-01
Arkansas,AR,2023,Q1,11.0,2023-03-01
Arkansas,AR,2023,Q2,11.0,2023-06-01
Arkansas,AR,2023,Q3,11.0,2023-09-01
Arkansas,AR,2023,Q4,11.0,2023-12-01
Arkansas,AR,2024,Q1,11.0,2024-03-01
Arkansas,AR,2024,Q2,11.0,2024-06-01
Arkansas,AR,2024,Q3,11.0,2024-09-01
Arkansas,AR,2024,Q4,11.0,2024-12-01
Arkansas,AR,2025,Q1,11.0,2025-03-01
Arkansas,AR,2025,Q2,11.0,2025-06-01
Arkansas,AR,2025,Q3,11.0,2025-07-01
California,CA,2023,Q1,15.5,2023-03-01
California,CA,2023,Q2,15.5,2023-06-01
California,CA,2023,Q3,15.5,2023-09-01
California,CA,2023,Q4,15.5,2023-12-01
California,CA,2024,Q1,16.0,2024-03-01
California,CA,2024,Q2,16.0,2024-06-01
California,CA,2024,Q3,16.0,2024-09-01
California,CA,2024,Q4,16.0,2024-12-01
California,CA,2025,Q1,16.0,2025-03-01
California,CA,2025,Q2,16.0,2025-06-01
California,CA,2025,Q3,16.0,2025-07-01
Colorado,CO,2023,Q1,13.65,2023-03-01
Colorado,CO,2023,Q2,13.65,2023-06-01
Colorado,CO,2023,Q3,13.65,2023-09-01
Colorado,CO,2023,Q4,13.65,2023-12-01
Colorado,CO,2024,Q1,14.42,2024-03-01
Colorado,CO,2024,Q2,14.42,2024-06-01
Colorado,CO,2024,Q3,14.42,2024-09-01
Colorado,CO,2024,Q4,14.42,2024-12-01
Colorado,CO,2025,Q1,14.42,2025-03-01
Colorado,CO,2025,Q2,14.42,2025-06-01
Colorado,CO,2025,Q3,14.42,2025-07-01
Connecticut,CT,2023,Q1,15.0,2023-03-01
Connecticut,CT,2023,Q2,15.0,2023-06-01
Connecticut,CT,2023,Q3,15.0,2023-09-01
Connecticut,CT,2023,Q4,15.0,2023-12-01
Connecticut,CT,2024,Q1,15.69,2024-03-01
Connecticut,CT,2024,Q2,15.69,2024-06-01
Connecticut,CT,2024,Q3,15.69,2024-09-01
Connecticut,CT,2024,Q4,15.69,2024-12-01
Connecticut,CT,2025,Q1,15.69,2025-03-01
Connecticut,CT,2025,Q2,15.69,2025-06-01
Connecticut,CT,2025,Q3,15.69,2025-07-01
Delaware,DE,2023,Q1,11.75,2023-03-01
Delaware,DE,2023,Q2,11.75,2023-06-01
Delaware,DE,2023,Q3,11.75,2023-09-01
Delaware,DE,2023,Q4,11.75,2023-12-01
Delaware,DE,2024,Q1,13.25,2024-03-01
Delaware,DE,2024,Q2,13.25,2024-06-01
Delaware,DE,2024,Q3,13.25,2024-09-01
Delaware,DE,2024,Q4,13.25,2024-12-01
Delaware,DE,2025,Q1,13.25,2025-03-01
Delaware,DE,2025,Q2,13.25,2025-06-01
Delaware,DE,2025,Q3,13.25,2025-07-01
District of Columbia,DC,2023,Q1,17.0,2023-03-01
District of Columbia,DC,2023,Q2,17.0,2023-06-01
District of Columbia,DC,2023,Q3,17.0,2023-09-01
District of Columbia,DC,2023,Q4,17.0,2023-12-01
District of Columbia,DC,2024,Q1,17.5,2024-03-01
District of Columbia,DC,2024,Q2,17.5,2024-06-01
District of Columbia,DC,2024,Q3,17.5,2024-09-01
District of Columbia,DC,2024,Q4,17.5,2024-12-01
District of Columbia,DC,2025,Q1,17.5,2025-03-01
District of Columbia,DC,2025,Q2,17.5,2025-06-01
District of Columbia,DC,2025,Q3,17.5,2025-07-01
Florida,FL,2023,Q1,12.0,2023-03-01
Florida,FL,2023,Q2,12.0,2023-06-01
Florida,FL,2023,Q3,12.0,2023-09-01
Florida,FL,2023,Q4,12.0,2023-12-01
Florida,FL,2024,Q1,12.0,2024-03-01
Florida,FL,2024,Q2,12.0,2024-06-01
Florida,FL,2024,Q3,12.0,2024-09-01
Florida,FL,2024,Q4,12.0,2024-12-01
Florida,FL,2025,Q1,12.0,2025-03-01
Florida,FL,2025,Q2,12.0,2025-06-01
Florida,FL,2025,Q3,12.0,2025-07-01
Georgia,GA,2023,Q1,5.15,2023-03-01
Georgia,GA,2023,Q2,5.15,2023-06-01
Georgia,GA,2023,Q3,5.15,2023-09-01
Georgia,GA,2023,Q4,5.15,2023-12-01
Georgia,GA,2024,Q1,5.15,2024-03-01
Georgia,GA,2024,Q2,5.15,2024-06-01
Georgia,GA,2024,Q3,5.15,2024-09-01
Georgia,GA,2024,Q4,5.15,2024-12-01
Georgia,GA,2025,Q1,5.15,2025-03-01
Georgia,GA,2025,Q2,5.15,2025-06-01
Georgia,GA,2025,Q3,5.15,2025-07-01
Hawaii,HI,2023,Q1,12.0,2023-03-01
Hawaii,HI,2023,Q2,12.0,2023-06-01
Hawaii,HI,2023,Q3,12.0,2023-09-01
Hawaii,HI,2023,Q4,12.0,2023-12-01
Hawaii,HI,2024,Q1,14.0,2024-03-01
Hawaii,HI,2024,Q2,14.0,2024-06-01
Hawaii,HI,2024,Q3,14.0,2024-09-01
Hawaii,HI,2024,Q4,14.0,2024-12-01
Hawaii,HI,2025,Q1,14.0,2025-03-01
Hawaii,HI,2025,Q2,14.0,2025-06-01
Hawaii,HI,2025,Q3,14.0,2025-07-01
Idaho,ID,2023,Q1,7.25,2023-03-01
Idaho,ID,2023,Q2,7.25,2023-06-01
Idaho,ID,2023,Q3,7.25,2023-09-01
Idaho,ID,2023,Q4,7.25,2023-12-01
Idaho,ID,2024,Q1,7.25,2024-03-01
Idaho,ID,2024,Q2,7.25,2024-06-01
Idaho,ID,2024,Q3,7.25,2024-09-01
Idaho,ID,2024,Q4,7.25,2024-12-01
Idaho,ID,2025,Q1,7.25,2025-03-01
Idaho,ID,2025,Q2,7.25,2025-06-01
Idaho,ID,2025,Q3,7.25,2025-07-01
Illinois,IL,2023,Q1,13.0,2023-03-01
Illinois,IL,2023,Q2,13.0,2023-06-01
Illinois,IL,2023,Q3,13.0,2023-09-01
Illinois,IL,2023,Q4,13.0,2023-12-01
Illinois,IL,2024,Q1,14.0,2024-03-01
Illinois,IL,2024,Q2,14.0,2024-06-01
Illinois,IL,2024,Q3,14.0,2024-09-01
Illinois,IL,2024,Q4,14.0,2024-12-01
Illinois,IL,2025,Q1,14.0,2025-03-01
Illinois,IL,2025,Q2,14.0,2025-06-01
Illinois,IL,2025,Q3,14.0,2025-07-01
Indiana,IN,2023,Q1,7.25,2023-03-01
Indiana,IN,2023,Q2,7.25,2023-06-01
Indiana,IN,2023,Q3,7.25,2023-09-01
Indiana,IN,2023,Q4,7.25,2023-12-01
Indiana,IN,2024,Q1,7.25,2024-03-01
Indiana,IN,2024,Q2,7.25,2024-06-01
Indiana,IN,2024,Q3,7.25,2024-09-01
Indiana,IN,2024,Q4,7.25,2024-12-01
Indiana,IN,2025,Q1,7.25,2025-03-01
Indiana,IN,2025,Q2,7.25,2025-06-01
Indiana,IN,2025,Q3,7.25,2025-07-01
Iowa,IA,2023,Q1,7.25,2023-03-01
Iowa,IA,2023,Q2,7.25,2023-06-01
Iowa,IA,2023,Q3,7.25,2023-09-01
Iowa,IA,2023,Q4,7.25,2023-12-01
Iowa,IA,2024,Q1,7.25,2024-03-01
Iowa,IA,2024,Q2,7.25,2024-06-01
Iowa,IA,2024,Q3,7.25,2024-09-01
Iowa,IA,2024,Q4,7.25,2024-12-01
Iowa,IA,2025,Q1,7.25,2025-03-01
Iowa,IA,2025,Q2,7.25,2025-06-01
Iowa,IA,2025,Q3,7.25,2025-07-01
Kansas,KS,2023,Q1,7.25,2023-03-01
Kansas,KS,2023,Q2,7.25,2023-06-01
Kansas,KS,2023,Q3,7.25,2023-09-01
Kansas,KS,2023,Q4,7.25,2023-12-01
Kansas,KS,2024,Q1,7.25,2024-03-01
Kansas,KS,2024,Q2,7.25,2024-06-01
Kansas,KS,2024,Q3,7.25,2024-09-01
Kansas,KS,2024,Q4,7.25,2024-12-01
Kansas,KS,2025,Q1,7.25,2025-03-01
Kansas,KS,2025,Q2,7.25,2025-06-01
Kansas,KS,2025,Q3,7.25,2025-07-01
Kentucky,KY,2023,Q1,7.25,2023-03-01
Kentucky,KY,2023,Q2,7.25,2023-06-01
Kentucky,KY,2023,Q3,7.25,2023-09-01
Kentucky,KY,2023,Q4,7.25,2023-12-01
Kentucky,KY,2024,Q1,7.25,2024-03-01
Kentucky,KY,2024,Q2,7.25,2024-06-01
Kentucky,KY,2024,Q3,7.25,2024-09-01
Kentucky,KY,2024,Q4,7.25,2024-12-01
Kentucky,KY,2025,Q1,7.25,2025-03-01
Kentucky,KY,2025,Q2,7.25,2025-06-01
Kentucky,KY,2025,Q3,7.25,2025-07-01
Louisiana,LA,2023,Q1,7.25,2023-03-01
Louisiana,LA,2023,Q2,7.25,2023-06-01
Louisiana,LA,2023,Q3,7.25,2023-09-01
Louisiana,LA,2023,Q4,7.25,2023-12-01
Louisiana,LA,2024,Q1,7.25,2024-03-01
Louisiana,LA,2024,Q2,7.25,2024-06-01
Louisiana,LA,2024,Q3,7.25,2024-09-01
Louisiana,LA,2024,Q4,7.25,2024-12-01
Louisiana,LA,2025,Q1,7.25,2025-03-01
Louisiana,LA,2025,Q2,7.25,2025-06-01
Louisiana,LA,2025,Q3,7.25,2025-07-01
Maine,ME,2023,Q1,13.8,2023-03-01
Maine,ME,2023,Q2,13.8,2023-06-01
Maine,ME,2023,Q3,13.8,2023-09-01
Maine,ME,2023,Q4,13.8,2023-12-01
Maine,ME,2024,Q1,14.15,2024-03-01
Maine,ME,2024,Q2,14.15,2024-06-01
Maine,ME,2024,Q3,14.15,2024-09-01
Maine,ME,2024,Q4,14.15,2024-12-01
Maine,ME,2025,Q1,14.15,2025-03-01
Maine,ME,2025,Q2,14.15,2025-06-01
Maine,ME,2025,Q3,14.15,2025-07-01
Maryland,MD,2023,Q1,13.25,2023-03-01
Maryland,MD,2023,Q2,13.25,2023-06-01
Maryland,MD,2023,Q3,13.25,2023-09-01
Maryland,MD,2023,Q4,13.25,2023-12-01
Maryland,MD,2024,Q1,15.0,2024-03-01
Maryland,MD,2024,Q2,15.0,2024-06-01
Maryland,MD,2024,Q3,15.0,2024-09-01
