CITY_STATE,CITY,STATE,POPULATION,CITY_RANK,ZIPCODES
"New York, NY",New York,NY,8258035,1,"10001,10002,10003,10005,10006,10007,10009,10010,10011,10012,10013,10014,10016,10017,10018,10019,10020,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10044,10065,10069,10075,10103,10110,10111,10112,10115,10119,10128,10152,10153,10154,10162,10165,10167,10168,10169,10170,10171,10172,10173,10174,10177,10199,10271,10278,10279,10280,10282,10301,10302,10303,10304,10305,10306,10307,10308,10309,10310,10311,10312,10314,10451,10452,10453,10454,10455,10456,10457,10458,10459,10460,10461,10462,10463,10464,10465,10466,10467,10468,10469,10470,10471,10472,10473,10474,10475,11004,11005,11101,11102,11103,11104,11105,11106,11109,11201,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11249,11354,11355,11356,11357,11358,11359,11360,11361,11362,11363,11364,11365,11366,11367,11368,11369,11370,11371,11372,11373,11374,11375,11377,11378,11379,11385,11411,11412,11413,11414,11415,11416,11417,11418,11419,11420,11421,11422,11423,11424,11426,11427,11428,11429,11430,11432,11433,11434,11435,11436,11439,11451,11691,11692,11693,11694,11697"
"Los Angeles, CA",Los Angeles,CA,3820914,2,"90002,90003,90004,90005,90006,90007,90008,90010,90011,90012,90013,90014,90015,90016,90017,90018,90019,90020,90021,90023,90024,90025,90026,90027,90028,90029,90031,90032,90033,90034,90035,90036,90037,90038,90039,90041,90042,90043,90045,90046,90047,90048,90049,90052,90057,90062,90064,90065,90066,90067,90068,90069,90071,90077,90079,90089,90094,90095,90210,90248,90272,90291,90293,90710,90731,90732,90744,91040,91303,91304,91306,91307,91316,91324,91325,91326,91330,91331,91335,91343,91344,91345,91352,91356,91364,91367,91371,91401,91402,91403,91405,91406,91411,91423,91436,91601,91602,91604,91605,91606,91607"
"Chicago, IL",Chicago,IL,2664452,3,"60018,60601,60602,60603,60604,60605,60606,60607,60608,60609,60610,60611,60612,60613,60614,60615,60616,60617,60618,60619,60620,60621,60622,60623,60624,60625,60626,60628,60629,60630,60631,60632,60633,60634,60636,60637,60638,60639,60640,60641,60642,60643,60644,60645,60646,60647,60649,60651,60652,60653,60654,60655,60656,60657,60659,60660,60661"
"Houston, TX",Houston,TX,2314157,4,"77002,77003,77004,77006,77007,77008,77009,77010,77011,77012,77013,77016,77017,77018,77019,77020,77021,77022,77023,77025,77026,77027,77028,77029,77030,77031,77032,77033,77034,77035,77036,77042,77043,77045,77046,77047,77048,77051,77053,77054,77055,77056,77057,77058,77059,77060,77061,77062,77063,77071,77072,77074,77075,77076,77077,77078,77079,77080,77081,77082,77084,77085,77086,77087,77088,77089,77091,77092,77093,77096,77098,77099,77204,77339,77345"
"Phoenix, AZ",Phoenix,AZ,1650070,5,"85003,85004,85006,85007,85008,85009,85012,85013,85014,85015,85016,85017,85018,85019,85020,85021,85022,85023,85024,85026,85027,85028,85029,85031,85032,85033,85034,85035,85037,85040,85041,85042,85043,85044,85045,85048,85050,85051,85053,85054,85083,85085,85254,85353"
"Philadelphia, PA",Philadelphia,PA,1550542,6,"19102,19103,19104,19106,19107,19108,19109,19111,19112,19114,19115,19116,19118,19119,19120,19121,19122,19123,19124,19125,19126,19127,19128,19129,19130,19131,19132,19133,19134,19135,19136,19137,19138,19139,19140,19141,19142,19143,19144,19145,19146,19147,19148,19149,19150,19151,19152,19153,19154"
"San Antonio, TX",San Antonio,TX,1495295,7,"78109,78201,78202,78203,78204,78205,78207,78208,78209,78210,78211,78212,78214,78215,78216,78217,78218,78219,78220,78221,78222,78224,78225,78226,78227,78228,78229,78230,78233,78234,78235,78237,78238,78240,78242,78247,78248,78249,78250,78251,78256,78258,78259"
"San Diego, CA",San Diego,CA,1388320,8,"92014,92025,92037,92092,92093,92101,92102,92103,92104,92105,92106,92107,92108,92109,92110,92111,92113,92114,92115,92116,92117,92119,92120,92121,92122,92123,92124,92126,92127,92128,92129,92130,92131,92132,92134,92136,92139,92140,92145,92147,92154,92161,92173,92182"
"Dallas, TX",Dallas,TX,1302868,9,"75088,75201,75202,75203,75204,75206,75207,75208,75209,75210,75211,75212,75214,75215,75216,75217,75218,75219,75220,75223,75224,75226,75227,75228,75229,75230,75231,75232,75233,75235,75236,75237,75238,75240,75241,75243,75244,75246,75247,75248,75249,75251,75252,75253,75254,75270,75287,75390"
"Jacksonville, FL",Jacksonville,FL,985843,10,"32202,32203,32204,32205,32206,32207,32208,32209,32210,32211,32212,32214,32216,32217,32218,32219,32220,32221,32222,32223,32224,32225,32226,32227,32228,32233,32234,32244,32246,32254,32256,32257,32258,32277"
"Austin, TX",Austin,TX,979882,11,"78701,78702,78703,78704,78705,78712,78717,78721,78722,78723,78724,78726,78727,78730,78731,78739,78741,78744,78745,78749,78751,78752,78753,78754,78756,78757,78758,78759"
"Fort Worth, TX",Fort Worth,TX,978468,12,"76040,76052,76102,76103,76104,76105,76106,76107,76109,76110,76111,76112,76115,76116,76118,76119,76120,76123,76126,76127,76129,76132,76133,76134,76135,76137,76140,76155,76164,76177,76179,76244"
"San Jose, CA",San Jose,CA,969655,13,"95002,95013,95110,95111,95112,95113,95116,95117,95118,95119,95121,95122,95123,95125,95126,95129,95131,95133,95134,95136,95138,95139,95148"
"Columbus, OH",Columbus,OH,913175,14,"43002,43109,43201,43202,43203,43204,43205,43206,43207,43210,43211,43212,43213,43214,43215,43218,43222,43227,43228,43229,43232,43240"
"Charlotte, NC",Charlotte,NC,911311,15,"28202,28203,28204,28205,28206,28207,28208,28209,28210,28211,28212,28213,28214,28215,28217,28223,28226,28244,28262,28269,28273,28274,28277,28280,28282"
"Indianapolis, IN",Indianapolis,IN,879293,16,"46113,46183,46201,46202,46203,46204,46205,46206,46208,46214,46217,46218,46219,46220,46221,46222,46225,46226,46227,46228,46229,46235,46237,46239,46240,46241,46250,46254,46256,46259,46260,46268,46278"
"San Francisco, CA",San Francisco,CA,808988,17,"94102,94103,94104,94105,94107,94108,94109,94110,94111,94112,94114,94115,94116,94117,94118,94121,94122,94123,94124,94127,94129,94130,94131,94132,94133,94134,94158,94188"
"Seattle, WA",Seattle,WA,755078,18,"98101,98102,98103,98104,98105,98106,98107,98108,98109,98112,98115,98116,98117,98118,98119,98121,98122,98125,98126,98134,98136,98144,98154,98164,98174,98195,98199"
"Denver, CO",Denver,CO,716577,19,"80123,80202,80203,80204,80205,80206,80207,80209,80210,80211,80212,80216,80218,80219,80220,80222,80223,80224,80230,80236,80237,80238,80239,80247,80249,80264,80266,80290,80293,80294"
"Oklahoma City, OK",Oklahoma City,OK,702767,20,"73013,73064,73084,73097,73102,73103,73104,73105,73106,73107,73108,73109,73111,73112,73114,73116,73117,73118,73119,73120,73127,73128,73129,73131,73132,73134,73135,73139,73141,73142,73145,73149,73150,73151,73159,73162,73165,73169,73170,73173,73179,74857"
"Nashville, TN",Nashville,TN,687788,21,"37013,37072,37076,37080,37115,37138,37189,37201,37203,37205,37206,37207,37208,37209,37210,37211,37212,37213,37214,37216,37217,37218,37219,37221,37228,37232,37238"
"Washington, DC",Washington,DC,678972,22,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20015,20016,20017,20018,20019,20020,20024,20032,20036,20037,20045,20052,20057,20059,20064,20204,20220,20230,20240,20245,20250,20260,20317,20319,20373,20388,20390,20408,20415,20418,20422,20427,20431,20510,20515,20520,20530,20535,20540,20542,20551,20560,20565,20566,20591"
"El Paso, TX",El Paso,TX,678958,23,"79901,79902,79903,79904,79905,79907,79911,79912,79915,79920,79922,79924,79925,79930,79932,79934,79935,79936"
"Las Vegas, NV",Las Vegas,NV,660929,24,"89101,89102,89106,89107,89108,89117,89128,89129,89130,89131,89134,89138,89143,89144,89145"
"Boston, MA",Boston,MA,653833,25,"02108,02109,02110,02111,02113,02114,02115,02116,02118,02119,02120,02121,02122,02124,02125,02126,02127,02128,02129,02130,02131,02132,02133,02134,02135,02136,02163,02199,02203,02205,02210,02215"
"Detroit, MI",Detroit,MI,633218,26,"48201,48202,48203,48204,48205,48206,48207,48208,48209,48210,48211,48212,48213,48214,48215,48216,48217,48219,48221,48223,48224,48226,48227,48228,48233,48234,48235,48238,48243"
"Portland, OR",Portland,OR,630498,27,"97201,97202,97203,97204,97205,97206,97208,97209,97210,97211,97212,97213,97214,97215,97216,97217,97218,97219,97227,97230,97232,97233,97236,97239,97258,97266"
"Louisville, KY",Louisville,KY,622981,28,"40041,40202,40203,40204,40205,40206,40208,40209,40210,40211,40212,40213,40214,40215,40217,40220,40221,40231,40280"
"Memphis, TN",Memphis,TN,618639,29,"38016,38018,38103,38104,38105,38106,38107,38108,38109,38111,38112,38113,38114,38115,38116,38117,38118,38119,38120,38122,38126,38128,38131,38132,38134,38141,38152"
"Baltimore, MD",Baltimore,MD,565239,30,"21201,21202,21205,21206,21210,21211,21212,21213,21214,21215,21216,21217,21218,21223,21224,21226,21229,21230,21231,21233,21239,21251,21287"
"Milwaukee, WI",Milwaukee,WI,561385,31,"53202,53203,53204,53205,53206,53207,53208,53209,53210,53212,53215,53216,53218,53219,53221,53222,53223,53224,53225,53233,53295"
"Albuquerque, NM",Albuquerque,NM,560274,32,"87101,87102,87104,87106,87107,87108,87109,87110,87111,87112,87113,87120"
"Tucson, AZ",Tucson,AZ,547239,33,"85701,85705,85706,85707,85708,85709,85710,85711,85712,85713,85714,85715,85716,85719,85721,85723,85724,85726,85734,85747,85756"
"Fresno, CA",Fresno,CA,545716,34,"93650,93701,93702,93705,93710,93711,93720,93721,93722,93726,93728,93730,93740,93741"
"Sacramento, CA",Sacramento,CA,526384,35,"95811,95814,95815,95816,95817,95818,95819,95820,95822,95823,95824,95831,95833,95834,95835,95838"
"Mesa, AZ",Mesa,AZ,511648,36,"85201,85202,85203,85204,85205,85206,85207,85209,85210,85212,85213"
"Atlanta, GA",Atlanta,GA,510823,37,"30303,30305,30306,30307,30308,30309,30310,30311,30312,30313,30314,30315,30317,30318,30322,30324,30326,30327,30331,30332,30334,30354,30363"
"Kansas City, MO",Kansas City,MO,510704,38,"64101,64102,64105,64106,64108,64109,64110,64111,64112,64113,64114,64117,64119,64120,64123,64124,64125,64126,64127,64128,64129,64130,64131,64132,64134,64136,64137,64139,64145,64146,64147,64149,64151,64153,64154,64155,64156,64157,64158,64161,64163,64164,64165"
"Colorado Springs, CO",Colorado Springs,CO,488664,39,"80903,80904,80905,80907,80909,80910,80914,80916,80917,80918,80919,80920,80922,80923,80924,80925,80927,80938,80939,80951"
"Omaha, NE",Omaha,NE,483335,40,"68102,68104,68105,68106,68107,68108,68111,68114,68116,68117,68118,68122,68124,68127,68130,68131,68132,68134,68135,68137,68144,68154,68164,68178,68182,68183"
"Raleigh, NC",Raleigh,NC,482295,41,"27601,27604,27605,27607,27608,27609,27612,27616,27695,27697"
"Miami, FL",Miami,FL,455924,42,"33101,33125,33127,33128,33129,33130,33131,33132,33133,33135,33136,33137,33138,33144,33145"
"Virginia Beach, VA",Virginia Beach,VA,453649,43,"23451,23452,23453,23454,23455,23456,23457,23459,23460,23461,23462,23464"
"Long Beach, CA",Long Beach,CA,449468,44,"90802,90803,90804,90805,90806,90807,90808,90810,90813,90814,90815,90822,90831,90840"
"Oakland, CA",Oakland,CA,436504,45,"94601,94602,94603,94605,94606,94607,94609,94610,94611,94612,94613,94618,94619,94621,94705"
"Minneapolis, MN",Minneapolis,MN,425115,46,"55401,55402,55403,55404,55405,55406,55407,55408,55409,55410,55411,55412,55413,55414,55415,55417,55418,55419,55454,55455"
"Bakersfield, CA",Bakersfield,CA,413381,47,"93301,93304,93309"
"Tulsa, OK",Tulsa,OK,411894,48,"74103,74104,74105,74106,74108,74110,74112,74114,74115,74116,74119,74120,74127,74128,74129,74132,74133,74134,74135,74136,74137,74145,74146,74171"
"Tampa, FL",Tampa,FL,403364,49,"33602,33603,33604,33605,33607,33609,33611,33612,33616,33620,33621,33629"
"Arlington, TX",Arlington,TX,398431,50,"76001,76002,76005,76006,76010,76011,76012,76014,76015,76016,76017,76018"
"Wichita, KS",Wichita,KS,396119,51,"67202,67203,67204,67205,67207,67208,67209,67211,67212,67213,67214,67216,67217,67218,67220,67226,67230,67235,67260"
"Aurora, CO",Aurora,CO,395052,52,"80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80045"
"New Orleans, LA",New Orleans,LA,364136,53,"70112,70113,70114,70115,70116,70117,70118,70119,70122,70124,70125,70126,70127,70128,70129,70130,70131,70139,70148,70163"
"Cleveland, OH",Cleveland,OH,362656,54,"44101,44102,44103,44104,44105,44106,44108,44109,44110,44111,44113,44114,44115,44119,44127,44135"
"Honolulu, HI",Honolulu,HI,341778,55,"96813,96814,96815,96816,96817,96818,96819,96820,96821,96822,96825,96826,96848,96850,96858,96859"
"Anaheim, CA",Anaheim,CA,340512,56,"92801,92802,92804,92805,92806,92807,92808"
"Henderson, NV",Henderson,NV,337305,57,"89002,89011,89012,89014,89015,89052,89054,89074"
"Orlando, FL",Orlando,FL,320742,58,"32801,32803,32804,32805,32808,32811,32814,32827"
"Lexington, KY",Lexington,KY,320154,59,"40502,40503,40504,40505,40507,40508,40509,40510,40511,40513,40514,40515,40516,40517,40526,40536"
"Stockton, CA",Stockton,CA,319543,60,"95202,95203,95204,95205,95207,95209,95210,95211"
"Riverside, CA",Riverside,CA,318858,61,"92501,92504,92505,92506,92507,92508,92521"
"Corpus Christi, TX",Corpus Christi,TX,316595,62,"78373,78401,78404,78405,78406,78408,78409,78410,78411,78412,78413,78414,78416,78417,78419"
"Irvine, CA",Irvine,CA,314621,63,"92602,92603,92604,92612,92614,92617,92618,92620,92697"
"Cincinnati, OH",Cincinnati,OH,311097,64,"45202,45203,45204,45205,45206,45207,45208,45209,45211,45213,45214,45216,45219,45220,45223,45225,45226,45227,45229,45232,45267"
"Santa Ana, CA",Santa Ana,CA,310539,65,"92701,92703,92704,92706,92707"
"Newark, NJ",Newark,NJ,304960,66,"07102,07103,07104,07105,07106,07107,07108,07112,07114"
"Saint Paul, MN",Saint Paul,MN,303820,67,
"Pittsburgh, PA",Pittsburgh,PA,303255,68,"15201,15203,15204,15206,15207,15208,15211,15212,15213,15214,15216,15217,15219,15222,15224,15226,15232,15233,15260,15282,15290"
"Greensboro, NC",Greensboro,NC,302296,69,"27235,27401,27403,27408,27410,27411,27412"
"Durham, NC",Durham,NC,296186,70,"27701,27703,27707,27708,27713"
"Lincoln, NE",Lincoln,NE,294757,71,"68502,68503,68504,68505,68506,68508,68510,68512,68516,68521,68522,68588"
"Jersey City, NJ",Jersey City,NJ,291657,72,"07302,07304,07305,07306,07307,07310,07311"
"Plano, TX",Plano,TX,290190,73,"75023,75024,75025,75074,75075,75093"
"Anchorage, AK",Anchorage,AK,286075,74,"99501,99502,99504,99505,99506,99507,99508,99513,99515,99516,99517,99518,99530,99540,99567,99577,99587"
"North Las Vegas, NV",North Las Vegas,NV,284771,75,"89030,89031,89032,89081,89084,89085,89086"
"St. Louis, MO",St. Louis,MO,281754,76,"63101,63102,63103,63104,63106,63107,63108,63109,63110,63111,63112,63113,63115,63116,63118,63120,63139,63147,63155"
"Madison, WI",Madison,WI,280305,77,"53703,53704,53705,53706,53713,53714,53715,53716,53717,53718,53719,53726,53792"
"Chandler, AZ",Chandler,AZ,280167,78,"85224,85225,85249,85286"
"Gilbert, AZ",Gilbert,AZ,275411,79,"85233,85234,85236,85295,85296,85297,85298"
"Reno, NV",Reno,NV,274915,80,"89439,89501,89503,89509,89512,89519,89523,89557"
"Buffalo, NY",Buffalo,NY,274678,81,"14201,14202,14203,14204,14206,14207,14208,14209,14210,14211,14212,14213,14214,14215,14216,14220,14222"
"Chula Vista, CA",Chula Vista,CA,274333,82,"91910,91911,91913,91914,91915"
"Fort Wayne, IN",Fort Wayne,IN,269994,83,"46802,46803,46804,46805,46806,46807,46808,46815,46825"
"Lubbock, TX",Lubbock,TX,266878,84,"79401,79402,79404,79406,79410,79411,79412,79413,79414,79424"
"Toledo, OH",Toledo,OH,265304,85,"43604,43605,43606,43607,43608,43609,43610,43611,43612,43613,43614,43615,43620,43623"
"St. Petersburg, FL",St. Petersburg,FL,263553,86,"33701,33702,33703,33704,33705,33710,33711,33712,33713,33716"
"Laredo, TX",Laredo,TX,257602,87,"78040,78041"
"Irving, TX",Irving,TX,254373,88,"75038,75039,75060,75061,75062,75063"
"Chesapeake, VA",Chesapeake,VA,253886,89,"23320,23321,23322,23323,23324,23325"
"Glendale, AZ",Glendale,AZ,253855,90,"85301,85302,85303,85304,85305,85306,85308,85309,85310,85340"
"Winston-Salem, NC",Winston-Salem,NC,252975,91,"27101,27103,27104,27105,27106,27109,27110,27127"
"Port St. Lucie, FL",Port St. Lucie,FL,245021,92,"34952,34953,34983,34984,34986"
"Scottsdale, AZ",Scottsdale,AZ,244394,93,"85251,85255,85257,85258,85259,85260,85266"
