CITY_STATE,CITY,STATE,POPULATION,CITY_RANK,ZIPCODE
"New York, NY",New York,NY,8258035,1,10001
"New York, NY",New York,NY,8258035,1,10002
"New York, NY",New York,NY,8258035,1,10003
"New York, NY",New York,NY,8258035,1,10005
"New York, NY",New York,NY,8258035,1,10006
"New York, NY",New York,NY,8258035,1,10007
"New York, NY",New York,NY,8258035,1,10009
"New York, NY",New York,NY,8258035,1,10010
"New York, NY",New York,NY,8258035,1,10011
"New York, NY",New York,NY,8258035,1,10012
"New York, NY",New York,NY,8258035,1,10013
"New York, NY",New York,NY,8258035,1,10014
"New York, NY",New York,NY,8258035,1,10016
"New York, NY",New York,NY,8258035,1,10017
"New York, NY",New York,NY,8258035,1,10018
"New York, NY",New York,NY,8258035,1,10019
"New York, NY",New York,NY,8258035,1,10020
"New York, NY",New York,NY,8258035,1,10021
"New York, NY",New York,NY,8258035,1,10022
"New York, NY",New York,NY,8258035,1,10023
"New York, NY",New York,NY,8258035,1,10024
"New York, NY",New York,NY,8258035,1,10025
"New York, NY",New York,NY,8258035,1,10026
"New York, NY",New York,NY,8258035,1,10027
"New York, NY",New York,NY,8258035,1,10028
"New York, NY",New York,NY,8258035,1,10029
"New York, NY",New York,NY,8258035,1,10030
"New York, NY",New York,NY,8258035,1,10031
"New York, NY",New York,NY,8258035,1,10032
"New York, NY",New York,NY,8258035,1,10033
"New York, NY",New York,NY,8258035,1,10034
"New York, NY",New York,NY,8258035,1,10035
"New York, NY",New York,NY,8258035,1,10036
"New York, NY",New York,NY,8258035,1,10037
"New York, NY",New York,NY,8258035,1,10038
"New York, NY",New York,NY,8258035,1,10039
"New York, NY",New York,NY,8258035,1,10040
"New York, NY",New York,NY,8258035,1,10044
"New York, NY",New York,NY,8258035,1,10065
"New York, NY",New York,NY,8258035,1,10069
"New York, NY",New York,NY,8258035,1,10075
"New York, NY",New York,NY,8258035,1,10103
"New York, NY",New York,NY,8258035,1,10110
"New York, NY",New York,NY,8258035,1,10111
"New York, NY",New York,NY,8258035,1,10112
"New York, NY",New York,NY,8258035,1,10115
"New York, NY",New York,NY,8258035,1,10119
"New York, NY",New York,NY,8258035,1,10128
"New York, NY",New York,NY,8258035,1,10152
"New York, NY",New York,NY,8258035,1,10153
"New York, NY",New York,NY,8258035,1,10154
"New York, NY",New York,NY,8258035,1,10162
"New York, NY",New York,NY,8258035,1,10165
"New York, NY",New York,NY,8258035,1,10167
"New York, NY",New York,NY,8258035,1,10168
"New York, NY",New York,NY,8258035,1,10169
"New York, NY",New York,NY,8258035,1,10170
"New York, NY",New York,NY,8258035,1,10171
"New York, NY",New York,NY,8258035,1,10172
"New York, NY",New York,NY,8258035,1,10173
"New York, NY",New York,NY,8258035,1,10174
"New York, NY",New York,NY,8258035,1,10177
"New York, NY",New York,NY,8258035,1,10199
"New York, NY",New York,NY,8258035,1,10271
"New York, NY",New York,NY,8258035,1,10278
"New York, NY",New York,NY,8258035,1,10279
"New York, NY",New York,NY,8258035,1,10280
"New York, NY",New York,NY,8258035,1,10282
"New York, NY",New York,NY,8258035,1,10301
"New York, NY",New York,NY,8258035,1,10302
"New York, NY",New York,NY,8258035,1,10303
"New York, NY",New York,NY,8258035,1,10304
"New York, NY",New York,NY,8258035,1,10305
"New York, NY",New York,NY,8258035,1,10306
"New York, NY",New York,NY,8258035,1,10307
"New York, NY",New York,NY,8258035,1,10308
"New York, NY",New York,NY,8258035,1,10309
"New York, NY",New York,NY,8258035,1,10310
"New York, NY",New York,NY,8258035,1,10311
"New York, NY",New York,NY,8258035,1,10312
"New York, NY",New York,NY,8258035,1,10314
"New York, NY",New York,NY,8258035,1,10451
"New York, NY",New York,NY,8258035,1,10452
"New York, NY",New York,NY,8258035,1,10453
"New York, NY",New York,NY,8258035,1,10454
"New York, NY",New York,NY,8258035,1,10455
"New York, NY",New York,NY,8258035,1,10456
"New York, NY",New York,NY,8258035,1,10457
"New York, NY",New York,NY,8258035,1,10458
"New York, NY",New York,NY,8258035,1,10459
"New York, NY",New York,NY,8258035,1,10460
"New York, NY",New York,NY,8258035,1,10461
"New York, NY",New York,NY,8258035,1,10462
"New York, NY",New York,NY,8258035,1,10463
"New York, NY",New York,NY,8258035,1,10464
"New York, NY",New York,NY,8258035,1,10465
"New York, NY",New York,NY,8258035,1,10466
"New York, NY",New York,NY,8258035,1,10467
